Method 2: time: 1.002732198, rttEMAVariance: 4.2436000159464405e-08, cwndEMAVariance: 0
Method 2: time: 1.004142732, rttEMAVariance: 3.097599999935619e-08, cwndEMAVariance: 0
Method 2: time: 1.001959358, rttEMAVariance: 5.152899999558449e-07, cwndEMAVariance: 0
Method 2: time: 1.003315206, rttEMAVariance: 5.953600224690918e-06, cwndEMAVariance: 0
Method 2: time: 1.003095982, rttEMAVariance: 0.0005975289906096816, cwndEMAVariance: 0
Method 2: time: 1.003364508, rttEMAVariance: 6.40001580563385e-07, cwndEMAVariance: 0
Method 2: time: 1.00351159, rttEMAVariance: 0.15681530341606267, cwndEMAVariance: 0
Method 2: time: 1.003171152, rttEMAVariance: 1195.6309290397992, cwndEMAVariance: 0
Method 2: time: 1.003931861, rttEMAVariance: 456.4484133551076, cwndEMAVariance: 0
Method 2: time: 1.006116827, rttEMAVariance: 599.2240769333501, cwndEMAVariance: 0
Method 2: time: 1.021165188, rttEMAVariance: 13307.9032886577, cwndEMAVariance: 0
Method 2: time: 1.004062323, rttEMAVariance: 262.6694884316285, cwndEMAVariance: 0
Method 2: time: 1.001640249, rttEMAVariance: 919.9218593632933, cwndEMAVariance: 0
Method 2: time: 1.005478139, rttEMAVariance: 8.934750115794502, cwndEMAVariance: 0
Method 2: time: 1.001180552, rttEMAVariance: 0.783921678292985, cwndEMAVariance: 0
Method 2: time: 1.002780294, rttEMAVariance: 20.6817946089262, cwndEMAVariance: 0
Method 2: time: 1.004073249, rttEMAVariance: 78.95316779489437, cwndEMAVariance: 0
Method 2: time: 1.00320118, rttEMAVariance: 309.80196871140186, cwndEMAVariance: 0
Method 2: time: 1.002653189, rttEMAVariance: 0.18961271028721124, cwndEMAVariance: 0
Method 2: time: 1.00261079, rttEMAVariance: 0.00023716916242536582, cwndEMAVariance: 0
Method 2: time: 1.00468561, rttEMAVariance: 128.35488266594658, cwndEMAVariance: 0
Method 2: time: 1.003190552, rttEMAVariance: 0.024923249170444823, cwndEMAVariance: 0
Method 2: time: 1.003225988, rttEMAVariance: 199.58570555746329, cwndEMAVariance: 0
Method 2: time: 1.004249943, rttEMAVariance: 0.4173115026861017, cwndEMAVariance: 0
Method 2: time: 1.002517563, rttEMAVariance: 0.00022467599859507612, cwndEMAVariance: 0
Method 2: time: 1.004943199, rttEMAVariance: 410.74862154166044, cwndEMAVariance: 0
Method 2: time: 1.004029548, rttEMAVariance: 5044.001014451466, cwndEMAVariance: 0
Method 2: time: 1.000567412, rttEMAVariance: 0.009254439107695907, cwndEMAVariance: 0
Method 2: time: 1.00280675, rttEMAVariance: 0.011971588032738333, cwndEMAVariance: 0
Method 2: time: 1.003748478, rttEMAVariance: 0.5265481935013979, cwndEMAVariance: 0
Method 2: time: 1.002913789, rttEMAVariance: 0.0194881580907073, cwndEMAVariance: 0
Method 2: time: 1.003444252, rttEMAVariance: 1.9965490329378106, cwndEMAVariance: 0
Method 2: time: 1.002494579, rttEMAVariance: 0.010160638935043188, cwndEMAVariance: 0
Method 2: time: 1.004242709, rttEMAVariance: 0.459679402816236, cwndEMAVariance: 0
Method 2: time: 1.002703482, rttEMAVariance: 0.0003387240643479816, cwndEMAVariance: 0
Method 2: time: 1.00355187, rttEMAVariance: 0.00021715599790590474, cwndEMAVariance: 0
Method 2: time: 1.002850854, rttEMAVariance: 6.350400021690995e-06, cwndEMAVariance: 0
Method 2: time: 1.003031544, rttEMAVariance: 75.96198062556094, cwndEMAVariance: 0
Method 2: time: 1.003641269, rttEMAVariance: 334.1870639270145, cwndEMAVariance: 0
Method 2: time: 1.004227729, rttEMAVariance: 368.37899636727553, cwndEMAVariance: 0
Method 2: time: 1.003013725, rttEMAVariance: 1.705519431600796, cwndEMAVariance: 0
Method 2: time: 1.003744076, rttEMAVariance: 0.0002861727221428678, cwndEMAVariance: 0
Method 2: time: 1.002079275, rttEMAVariance: 1.013760006880711, cwndEMAVariance: 2.076481000619942e-133
Method 2: time: 1.003902461, rttEMAVariance: 0.07024863509370241, cwndEMAVariance: 0
Method 2: time: 1.002261226, rttEMAVariance: 41.60475000124055, cwndEMAVariance: 0
Method 2: time: 1.003478943, rttEMAVariance: 0.00016080126321049826, cwndEMAVariance: 0
Method 2: time: 1.003345344, rttEMAVariance: 0.3170719629641886, cwndEMAVariance: 0
Method 2: time: 1.003256563, rttEMAVariance: 0.0001848998688640265, cwndEMAVariance: 0
Method 2: time: 1.003894252, rttEMAVariance: 11.123681860045142, cwndEMAVariance: 0
Method 2: time: 1.002811628, rttEMAVariance: 47.0652456437271, cwndEMAVariance: 0
Method 2: time: 1.00323823, rttEMAVariance: 109.01717207278573, cwndEMAVariance: 0
Method 2: time: 1.002986618, rttEMAVariance: 4.312620331552978, cwndEMAVariance: 0
Method 2: time: 1.003089406, rttEMAVariance: 14.274162728186498, cwndEMAVariance: 0
Method 2: time: 1.00362922, rttEMAVariance: 2.9554530768348317, cwndEMAVariance: 0
Method 2: time: 1.002820848, rttEMAVariance: 0.9636756062372542, cwndEMAVariance: 0
Method 2: time: 1.004275659, rttEMAVariance: 314.74743043107327, cwndEMAVariance: 0
Method 2: time: 1.003931375, rttEMAVariance: 0.000323996761141029, cwndEMAVariance: 0
Method 2: time: 1.002566795, rttEMAVariance: 4.000031636769682e-05, cwndEMAVariance: 0
Method 2: time: 1.003586314, rttEMAVariance: 5.9402319409735396e-06, cwndEMAVariance: 0
Method 2: time: 1.003119945, rttEMAVariance: 1.2321462307922246e-05, cwndEMAVariance: 0
Method 2: time: 1.003700966, rttEMAVariance: 1.5057900034814273, cwndEMAVariance: 0
