Chunk Index,Jitter (ms)
0,0
1,2.5
2,2.0548046676563256
3,2.692582403567252
4,2.4166091947189146
5,3.531603350069515
6,3.282607226593159
7,3.9031237489989987
8,3.9283710065919304
9,4.621688003316537
10,4.42008937496117
11,4.554454473979903
12,4.469488937333523
13,4.342481186734475
14,4.454211490264017
15,4.326065620168053
16,4.570099905777655
17,4.972765333466722
18,5.03560728415368
19,4.914010581999189
20,4.965641587134746
21,4.997726755963428
22,5.121584112218164
23,5.071708018234313
24,5.077952343218672
25,5.152123707581647
26,5.062571444397563
27,4.990168906388411
28,4.9137628553212975
29,4.892738383450406
30,4.962292780136623
31,5.0974871260259205
32,5.029937920302165
33,4.95943754484777
34,4.930041188717289
35,4.869516542535274
36,4.8079250379136775
37,4.78165932788795
38,4.795625883387092
39,4.7934851621758465
40,4.7357287412067315
41,4.679343811198463
42,4.6522091846195055
43,4.606185205651237
44,4.558860589724501
45,4.509232285367726
46,4.4931414964384055
47,4.4503433076062295
48,4.405706042275795
49,4.373785545725807
50,4.337102433231186
51,4.295441026188982
52,4.254957529910924
53,4.24445898775868
54,4.229999120801738
55,4.193007724236887
56,4.266297306265449
57,4.275062494762625
58,4.238847170817401
59,4.213569349929661
60,4.222194718993359
61,4.208935789325854
62,4.201284761926243
63,4.202834562456034
64,4.1956302994267105
65,4.234760393727902
66,4.203129237690415
67,4.18547083253072
68,4.155151068646798
69,4.126296951336904
70,4.099873958416986
71,4.071411166768702
72,4.046038305688853
73,4.026868308136458
74,4.005241010920011
75,3.978887322019769
76,3.958078518989922
77,3.9688133352352084
78,3.96515830348995
79,3.9578837463978145
80,3.9445555346708874
81,3.928873880675709
82,3.905844967388703
83,3.8832158167381157
84,3.8684957691034034
85,3.912319851417376
86,3.948840495690383
87,3.936675927146136
88,3.930304315009816
89,3.934353288975094
90,3.913445868771642
91,3.902446399593633
92,3.8853972399661623
93,3.8670176183072624
94,3.8651221164497835
95,3.8598353582835054
96,3.8437159633965705
97,3.8263537374087315
98,3.810745792030803
99,3.7917805843693
100,3.77309572472089
101,3.7638504951430427
102,3.769666750114478
103,3.8080322303593492
104,3.825514059983215
105,3.8162680388559003
106,3.8005796432840886
107,3.7830731768206256
108,3.7819536133557494
109,3.91601923023499
110,4.00561654215699
111,4.000069753856086
112,3.99727763886901
113,3.9857104718641896
114,3.9688389258900063
115,3.9521795940215974
116,3.941125642166604
117,3.9588246291923315
118,3.9541007560057024
119,3.967358133009365
120,3.9699884997227817
121,3.9680682590075205
122,3.952423785161882
123,3.9394150117441886
124,3.9636427689689677
125,3.9929785312496238
126,4.008902610765231
127,4.01157231049669
128,3.9987078016138318
129,3.985001466297163
130,3.970199579830792
131,3.955234759383637
132,3.9471034640758567
133,3.93246054455815
134,3.9445678993025965
135,3.942705750270745
136,3.933297542696183
137,3.9191109695759394
138,3.9174098711187484
139,3.929194755744671
140,3.9350519144910834
141,3.9227564607488885
142,3.9094224061001417
143,3.897386549160892
144,3.88433238149628
145,3.872547256726851
146,3.861837117555875
147,3.8503021330416267
148,3.8398177966772904
149,3.8386398053940347
150,3.8421670018176695
151,3.8319022329636354
152,3.823993044903091
153,3.8119482643276554
154,3.7997206754231683
155,3.787908328735448
156,3.7914838668752586
157,3.780870902064818
158,3.7693792077165704
159,3.775827723824273
160,3.7663830110695153
161,3.7638177069484304
162,3.7545611289410212
163,3.7431823809032254
164,3.736175620131208
165,3.7607155655291806
166,3.7550114720111893
167,3.766498099894374
168,3.7700156168747196
169,3.7759986877600213
170,3.7650283659610353
171,3.7684959406835796
172,3.7597768126994517
173,3.754435435669792
174,3.743777422304254
175,3.7332096564274266
176,3.7229880877217787
177,3.7166095391304212
178,3.707519497025378
179,3.697559255028167
180,3.6886222203963994
181,3.683847745339661
182,3.6819329889882155
183,3.6957001275661217
184,3.693810589229167
185,3.6839414276196134
186,3.7062643042282444
187,3.704431143247997
188,3.699672787585112
189,3.7101679558192244
190,3.7054897534879423
191,3.7036157668235385
192,3.699024659343012
193,3.6971844871614867
194,3.702848202751941
195,3.701040945684424
196,3.6928297306423543
197,3.698435570731211
198,3.7359502552887633
199,3.776824062621927
200,3.77101300654969
201,3.7826706433885167
202,3.8083310232762626
203,3.7992820908689704
204,3.7902972655313705
205,3.784543354776785
206,3.7840243894179846
207,3.7929005621761553
208,3.811892987381646
209,3.8145235048641393
210,3.805760978551064
211,3.8051276041698854
212,3.82084061233356
213,3.8687638066393504
214,3.8839019592957427
215,3.8751714639705197
216,3.8773318323950146
217,3.876461634246411
218,3.8718014837584955
219,3.879643312394194
220,3.8725101738245935
221,3.8978438180195116
222,3.892278521628097
223,3.889978867132146
224,3.8829135045672407
225,3.8849960688939547
226,3.876692030229668
227,3.869770918561225
228,3.862306558090143
229,3.8661660693268676
230,3.8802032436228595
231,3.8839722945433093
232,3.878636491331059
233,3.871306642676409
234,3.8631173773825536
235,3.8623317168901488
236,3.8580447442809582
237,3.8654297571056895
238,3.8612015805574673
239,3.8560828569936083
240,3.859791094555143
241,3.8732500714132168
242,3.871104849984377
243,3.8634196190571743
244,3.8627084346968976
245,3.9383426293813337
246,4.008133971122882
247,4.003638352452936
248,4.001153041018388
249,3.994548284850241
250,3.987460703209145
251,3.9822194731677847
252,3.9852051846029704
253,4.0142211857274965
254,4.032707492409874
255,4.027463095346127
256,4.019671835087604
257,4.011925615287453
258,4.0043915309596
259,3.998022810156608
260,4.009501201034103
261,4.046199389914284
262,4.079268489218778
263,4.072332612439226
264,4.064685236686318
265,4.057260179891801
266,4.049698966664319
267,4.0421798684201535
268,4.034702495664444
269,4.028540157733214
270,4.021317496004386
271,4.022399907572091
272,4.016342789869245
273,4.01899560130987
274,4.011728260533562
275,4.004662465936242
276,3.9986932401307214
277,3.999898101802346
278,3.9987986531153212
279,3.9929002681034267
280,3.9941288709013643
281,4.020313342297215
282,4.030840416359951
283,4.024503096479945
284,4.017637323665759
285,4.010806530534759
286,4.013277868793269
287,4.01860635651355
288,4.021038171859358
289,4.018868990985686
290,4.013151347040092
291,4.006320946312708
292,4.007450922529309
293,4.019504485383713
294,4.020607645294805
295,4.022964972438456
296,4.02084773364807
297,4.014141032457402
298,4.007467777641742
299,4.000827692143494
300,3.994364193417322
301,3.9879318849833316
302,4.005567474617426
303,4.082590690376926
304,4.093799429028844
305,4.091524149542654
306,4.090232565557146
307,4.091017314585805
308,4.088737740613538
309,4.126919822536432
310,4.161671133347755
311,4.172174613939891
312,4.169741573121308
313,4.164173189294626
314,4.160280820802425
315,4.160817210091349
316,4.156967518149426
317,4.151092288162521
318,4.147279740502
319,4.144969418991533
320,4.160568804881791
321,4.1937989847835375
322,4.195388011181864
323,4.188948197212884
324,4.184484160838429
325,4.1820932135842614
326,4.187496959726533
327,4.18370450710091
328,4.184153062690783
329,4.185712942554183
330,4.180028805160051
331,4.177721701499947
332,4.179289108022968
333,4.192233701390948
334,4.201831592056225
335,4.202212326307913
336,4.197872413535698
337,4.192657403995604
338,4.1977883335462645
339,4.201559893222061
340,4.260103887834986
341,4.283792384439568
342,4.2813170357208135
343,4.279669091939964
344,4.27981001763157
345,4.274570382267125
346,4.272129935677471
347,4.26614405953925
348,4.262437448440002
349,4.256495636323477
350,4.252812203268466
351,4.248586906546613
352,4.2470475660099964
353,4.2505038727356546
354,4.244663849610618
355,4.243153957926562
356,4.2408760068929165
357,4.234984176733778
358,4.229659865635556
359,4.230947672788752
360,4.228720349875833
361,4.225205624019412
362,4.228634883004761
363,4.22297251474392
364,4.217749268831302
365,4.214309718340854
366,4.208598363807147
367,4.202910165994696
368,4.1989489067474155
369,4.193828294450175
370,4.189085099342028
371,4.184007446725684
372,4.178545432772622
373,4.172987379850986
374,4.167451446094543
375,4.164203191326158
376,4.162184921840977
377,4.157578902808869
378,4.152640347690749
379,4.154115537665867
380,4.149544043719127
381,4.145820039351656
382,4.144650184168143
383,4.140959106017389
384,4.135719128568395
385,4.130911674182784
386,4.126445900435136
387,4.1216771722560654
388,4.118062571668335
389,4.126624956374394
390,4.142807279246976
391,4.155630253904173
392,4.166765921549592
393,4.175033557038971
394,4.186005327572765
395,4.18288548327921
396,4.179768140963306
397,4.175044816189579
398,4.170648972257632
399,4.167058314926728
400,4.162697616025715
401,4.157549243542686
402,4.155688258676254
403,4.152677558965351
404,4.153102567458811
405,4.148497680184895
406,4.15660336191821
407,4.157021708947189
408,4.153515411030276
409,4.148585475980571
410,4.143673035517755
411,4.14021041211369
412,4.136028409036565
413,4.131059082124494
414,4.135485963868368
415,4.130643636851256
416,4.12775526815257
417,4.134417063508012
418,4.129510070718553
419,4.125403848849201
420,4.1205315560959805
421,4.124892073693289
422,4.125392372886499
423,4.124376281097688
424,4.124871645271575
425,4.120057367372579
426,4.11726253416599
427,4.117760482730243
428,4.114988339112414
429,4.110328769818524
430,4.109357240668349
431,4.107728734550635
432,4.106765488475851
433,4.105150886184246
434,4.100555340714136
435,4.101086752246129
436,4.098391142076113
437,4.097461176182565
438,4.093286962571638
439,4.090605418021936
440,4.0938479345469565
441,4.091186548539601
442,4.086689097048822
443,4.0835836449269465
444,4.079760272779279
445,4.0782312684436715
446,4.075626730976963
447,4.071560123775389
448,4.0671468895299085
449,4.070369291948778
450,4.066326612425249
451,4.063784722190152
452,4.06075785389946
453,4.065027355203436
454,4.063547859342677
455,4.060541380968288
456,4.056859731854192
457,4.053187508521388
458,4.049524674803819
459,4.045149257342391
460,4.0443729996061
461,4.041892956439382
462,4.0405016309076185
463,4.043713996066701
464,4.047920834507172
465,4.046516172572302
466,4.042301394047914
467,4.038099744115917
468,4.033820992986188
469,4.0352728395977735
470,4.033914403457073
471,4.029667700363383
472,4.030317016273789
473,4.02680005212067
474,4.023970283452061
475,4.020477121281552
476,4.016379755323463
477,4.0170398464530415
478,4.016366159469306
479,4.013578839909178
480,4.0095246234716235
481,4.005389698897873
482,4.001267540038547
483,3.99851844019124
484,3.996251830894737
485,3.9939856391469246
486,3.9946837999135965
487,3.996205852228276
488,3.9925669370649275
489,3.989868468467157
490,3.986246530012457
491,3.990414083045454
492,3.9870753425489944
493,3.9844150689228455
494,3.9859174610528574
495,3.999412596697972
496,4.0065894737547945
497,4.002592364097915
498,4.011999022943022
499,4.026716280047553
500,4.029733988849928
501,4.025744125997535
502,4.021766090226605
503,4.017887517031967
504,4.013933188433966
505,4.010395185043604
506,4.006463389118167
507,4.002945374613965
508,3.9990358995772093
509,3.995137856171127
510,3.9919208700281748
511,3.988045471574968
512,3.985468667154103
513,3.981704666478042
514,3.979592583511289
515,3.9764207032554157
516,3.9758558087046683
517,3.9747061068872083
518,3.9709856115741333
519,3.9678436567011652
520,3.965344215226474
521,3.96480318223561
522,3.970655977948444
523,3.972121835903465
524,3.9684451509501546
525,3.9691542425275532
526,3.968617099979299
527,3.965277727521995
528,3.9632307548282077
529,3.96394798004031
530,3.9634216894582703
531,3.9623204111110852
532,3.9598781917969625
533,3.9613417062573935
534,3.958914687469791
535,3.955244561337095
536,3.9528288166443106
537,3.9498176251898016
538,3.9493255091522776
539,3.9582266608975076
540,3.95773347835905
541,3.9544874884979793
542,3.95124930598884
543,3.947639290621432
544,3.951509807884141
545,3.948297003666153
546,3.9490088988610283
547,3.950464834922076
548,3.946889623186692
549,3.943946087841676
550,3.9403901854161645
551,3.936843883182887
552,3.933686222319332
553,3.9317758974907915
554,3.9307676320816403
555,3.9278743171481505
556,3.924986963141473
557,3.9214929931903635
558,3.918620882383098
559,3.919388211708768
560,3.918963646218687
561,3.915577358685224
562,3.9163466651459795
563,3.9159293649924414
564,3.9128616553732614
565,3.9124447393515505
566,3.9299772621846047
567,3.9605081431595788
568,3.9594826492010333
569,3.9575933846953353
570,3.954516263315694
571,3.9514461555401486
572,3.9495769598120547
573,3.946158783083009
574,3.944297982968562
575,3.9433133648253045
576,3.9402810576618266
577,3.936971244460701
578,3.9335931580646255
579,3.9305848956457736
580,3.9287688963347493
581,3.928338607522186
582,3.9273910320883108
583,3.9269634951416212
584,3.9297877540586996
585,3.926456144846239
586,3.9232091887378298
587,3.922265752526184
588,3.919034811729326
589,3.9157344338293605
590,3.91251994684775
591,3.9103762903231094
592,3.908627678910907
593,3.905712295350211
594,3.902803281650824
595,3.8999006153610063
596,3.89724186030494
597,3.918364232655124
598,3.916253564503752
599,3.913012124807294
600,3.9137392806399394
601,3.9133508612710655
602,3.910694610719232
603,3.9114255054483276
604,3.908214043843967
605,3.9050104790355196
606,3.9033002851999714
607,3.9113816707934643
608,3.927782674464252
609,3.9390154246274327
610,3.936376746506542
611,3.9331809959921618
612,3.9310884978549225
613,3.9279822224639775
614,3.92488328964471
615,3.923179728268921
616,3.920020957647901
617,3.9169423328436177
618,3.9148910512126327
619,3.9128417275703335
620,3.9141950420474725
621,3.9111407346631677
622,3.9094659026449032
623,3.9101710268105405
624,3.9070630606633445
625,3.905404507146704
626,3.9045472713320524
627,3.9080001809644846
628,3.9059968124604056
629,3.9032533542279158
630,3.900180695169031
631,3.9036163409810256
632,3.9043274198885674
633,3.901338493188207
634,3.8986210483313357
635,3.89564642563124
636,3.8926089511875057
637,3.889648363674866
638,3.9053640055192456
639,3.9326455069830244
640,3.9322548067856755
641,3.9295407314529647
642,3.9275545711221347
643,3.9250591915326374
644,3.9257069184041464
645,3.9226873641875506
646,3.920211049971778
647,3.917739105430166
648,3.915780849899
649,3.9133212033050224
650,3.9113726504000192
651,3.9089252055471273
652,3.906273118287444
653,3.905932999930939
654,3.9092329735617777
655,3.9117920976489895
656,3.909865772382161
657,3.9090370516282773
658,3.9086990605484955
659,3.90607588684507
660,3.9093554870856195
661,3.907777908072919
662,3.9125583924711043
663,3.9122085669035656
664,3.909605548694748
665,3.9080392165721682
666,3.9127855527418802
667,3.9103936975457243
668,3.9088365671956864
669,3.905939066484435
670,3.9031134395847324
671,3.902319167339702
672,3.9019882324740616
673,3.9044855538740006
674,3.9029516458788716
675,3.9010881172183094
676,3.898225568370919
677,3.8958819437892727
