Method 2: time: 1.004624266, rttEMAVariance: 11.76631140359096, cwndEMAVariance: 1.1417640999923567e-30
Method 2: time: 1.000887002, rttEMAVariance: 172.97739136883865, cwndEMAVariance: 2.077103944300262e-45
Method 2: time: 1.00399568, rttEMAVariance: 1.2830457254772125, cwndEMAVariance: 2.0764809999999935e-30
Method 2: time: 1.004083195, rttEMAVariance: 4.879217724413704, cwndEMAVariance: 2.076481000000141e-15
Method 2: time: 1.00162174, rttEMAVariance: 4.036073998457738, cwndEMAVariance: 2.0764810006231236e-15
Method 2: time: 1.003158644, rttEMAVariance: 151.93450825961162, cwndEMAVariance: 1.5178815999999493e-73
Method 2: time: 1.003684997, rttEMAVariance: 0.004625593852779857, cwndEMAVariance: 2.076480999999708e-72
Method 2: time: 1.00286146, rttEMAVariance: 0.3477064479737702, cwndEMAVariance: 4.7698559999998094e-24
Method 2: time: 1.002470403, rttEMAVariance: 0.2756891612155691, cwndEMAVariance: 6.73402499999969e-33
Method 2: time: 1.002820447, rttEMAVariance: 44.22063826745433, cwndEMAVariance: 2.0764602351899804
Method 2: time: 1.005333499, rttEMAVariance: 0.891000139367484, cwndEMAVariance: 2.0764810000060066e-21
Method 2: time: 1.003381632, rttEMAVariance: 196.11857023807553, cwndEMAVariance: 2.0764809999999867e-45
Method 2: time: 1.003531154, rttEMAVariance: 0.3444812275053454, cwndEMAVariance: 103.22336663100027
Method 2: time: 1.003522146, rttEMAVariance: 58.82736542174379, cwndEMAVariance: 2.0764809999996335e-34
Method 2: time: 1.003318817, rttEMAVariance: 0.0925428674338964, cwndEMAVariance: 0.20764789235189415
Method 2: time: 1.002114751, rttEMAVariance: 8.65775601179798, cwndEMAVariance: 9.872163999013044e-05
Method 2: time: 1.003725547, rttEMAVariance: 377.1472700067177, cwndEMAVariance: 2.0764809999999504e-21
Method 2: time: 1.003756064, rttEMAVariance: 0.24304197825238066, cwndEMAVariance: 2.076480999999632e-37
Method 2: time: 1.001650322, rttEMAVariance: 0.05475743636836402, cwndEMAVariance: 2.0764809999998187e-35
Method 2: time: 1.003416718, rttEMAVariance: 183.9607771411153, cwndEMAVariance: 2.0764809999999894e-39
Method 2: time: 1.002901728, rttEMAVariance: 0.002245899191789204, cwndEMAVariance: 1.3032099999999782e-78
Method 2: time: 1.003122117, rttEMAVariance: 1.9172346674549452, cwndEMAVariance: 2056.3349811303606
Method 2: time: 1.004729779, rttEMAVariance: 0.9513907962377827, cwndEMAVariance: 2055.722377913409
Method 2: time: 1.002737889, rttEMAVariance: 9.70627342135259, cwndEMAVariance: 2.076480999998019e-07
Method 2: time: 1.003121101, rttEMAVariance: 8.38206785681923, cwndEMAVariance: 2.0764809999996306e-40
Method 2: time: 1.032222779, rttEMAVariance: 5.959285922930634, cwndEMAVariance: 0.0004334723995665249
Method 2: time: 1.001585914, rttEMAVariance: 79.52431494529792, cwndEMAVariance: 2.0764809999998165e-40
Method 2: time: 1.004143667, rttEMAVariance: 4.84002384017985e-06, cwndEMAVariance: 2.0764872294431288e-23
Method 2: time: 1.002118096, rttEMAVariance: 0.09269043232960189, cwndEMAVariance: 2.0764809999998127e-48
Method 2: time: 1.002414239, rttEMAVariance: 0.01246807955316261, cwndEMAVariance: 2.0764809999999988e-19
Method 2: time: 1.018679192, rttEMAVariance: 0.05175285366931854, cwndEMAVariance: 2.0764809999999853e-48
Method 2: time: 1.003022735, rttEMAVariance: 0.5882830443462751, cwndEMAVariance: 2.0764810000001266e-48
Method 2: time: 1.002315251, rttEMAVariance: 26.31188630086637, cwndEMAVariance: 2.0764809999999355e-51
Method 2: time: 1.005824874, rttEMAVariance: 40.4112311687546, cwndEMAVariance: 2.076480999999946e-29
Method 2: time: 1.003455918, rttEMAVariance: 62.62258115865162, cwndEMAVariance: 8.305924000000098e-13
Method 2: time: 1.032146156, rttEMAVariance: 236.26825574401062, cwndEMAVariance: 3.936216637439944
Method 2: time: 1.015320994, rttEMAVariance: 0.0007840226597909598, cwndEMAVariance: 2.0764810000001337e-32
Method 2: time: 1.003441857, rttEMAVariance: 2.916000104954785e-07, cwndEMAVariance: 0.00020764809979235214
Method 2: time: 1.003007492, rttEMAVariance: 0.03261454283816447, cwndEMAVariance: 2.076480999999946e-29
Method 2: time: 1.002340903, rttEMAVariance: 9.317989023544365, cwndEMAVariance: 2.076481006228942e-08
Method 2: time: 1.003075923, rttEMAVariance: 0.0009609943298238809, cwndEMAVariance: 2.0764872294428652e-17
Method 2: time: 1.003402403, rttEMAVariance: 0.27571898081941104, cwndEMAVariance: 2.0764809999996388e-22
Method 2: time: 1.003293033, rttEMAVariance: 72.70912251679945, cwndEMAVariance: 2.0764816229444045e-49
Method 2: time: 1.009912805, rttEMAVariance: 19.411235676390465, cwndEMAVariance: 2.0771039453381768e-14
Method 2: time: 1.017853632, rttEMAVariance: 0.0047609713482005085, cwndEMAVariance: 2.0764809999999286e-65
Method 2: time: 1.003221966, rttEMAVariance: 103.28939028403157, cwndEMAVariance: 2.0771039442999744e-57
Method 2: time: 1.003379848, rttEMAVariance: 1.2134883398177112, cwndEMAVariance: 2.0764810000000955e-12
Method 2: time: 1.00338005, rttEMAVariance: 89.13329925580938, cwndEMAVariance: 2.076480999999619e-66
Method 2: time: 1.001370689, rttEMAVariance: 0.6187521705019229, cwndEMAVariance: 1.5295920999999844e-29
Method 2: time: 1.003099009, rttEMAVariance: 169.6821029343284, cwndEMAVariance: 2055.7161899999583
Method 2: time: 1.005196604, rttEMAVariance: 0.15194838755739912, cwndEMAVariance: 1.196468099999982e-18
Method 2: time: 1.001975952, rttEMAVariance: 6.598320068830198, cwndEMAVariance: 2.076481000000116e-70
Method 2: time: 1.00363733, rttEMAVariance: 220.8956838126582, cwndEMAVariance: 2.076481000000128e-45
Method 2: time: 1.016164243, rttEMAVariance: 146.8275389059862, cwndEMAVariance: 92.10303877500056
Method 2: time: 1.001081253, rttEMAVariance: 22.500081776172326, cwndEMAVariance: 2.076487230480952e-23
Method 2: time: 1.006056026, rttEMAVariance: 95.75412161576254, cwndEMAVariance: 2.0764809999996158e-72
Method 2: time: 1.006217462, rttEMAVariance: 841.407016580767, cwndEMAVariance: 8.145316000000118e-19
