Index,RTT (μs),CWND (B),Bytes In Flight (B)
255,205232,28672,5324
256,204630,28672,4950
257,204630,28672,5045
258,204630,28672,5140
259,204126,28672,5045
260,203681,28672,4950
261,203681,28672,5045
262,203681,28672,5140
263,203681,28672,5526
264,203681,28672,5621
265,203681,28672,5716
266,203574,28672,5031
267,203574,28672,5426
268,203574,28672,5521
269,203574,28672,5616
270,203574,28672,5711
271,203574,28672,5806
272,203574,28672,5901
273,204809,28672,5210
274,204809,28672,5573
275,204240,28672,4802
276,204240,28672,4903
277,204240,28672,4997
278,204240,28672,5092
279,204240,28672,5188
280,204240,28672,5530
281,204195,28672,4713
282,204195,28672,4809
283,204195,28672,4906
284,204195,28672,5196
285,204195,28672,5291
286,204195,28672,5388
287,204320,28672,3841
288,204320,28672,5271
289,204320,28672,5367
290,204320,28672,5463
291,204320,28672,5928
292,204320,28672,6024
293,204320,28672,6120
294,204320,28672,6216
295,206146,28672,5777
296,206146,28672,6000
297,206146,28672,6096
298,206146,28672,6192
299,205709,28672,5426
300,205709,28672,5522
301,205709,28672,5618
302,205709,28672,6008
303,205709,28672,6104
304,205709,28672,6200
305,205289,28672,5330
306,205289,28672,5750
307,205289,28672,5846
308,205289,28672,5942
309,206280,28672,5384
310,206280,28672,5479
311,206280,28672,5573
312,206280,28672,5923
313,206280,28672,6018
314,206280,28672,6112
315,205891,28672,5386
316,205891,28672,5482
317,205891,28672,5576
318,205891,28672,6062
319,205891,28672,6156
320,205891,28672,6252
321,205891,28672,6348
322,205191,28672,4436
323,205191,28672,4813
324,205191,28672,4911
325,205191,28672,5011
326,204916,28672,4066
327,204916,28672,4164
328,204916,28672,4262
329,204916,28672,4587
330,204916,28672,4683
331,204916,28672,4779
332,204334,28672,4268
333,204334,28672,4300
334,204334,28672,5730
335,204334,28672,7160
336,204334,28672,7842
337,204334,28672,7938
338,204334,28672,8034
339,204577,28672,7356
340,204577,28672,7452
341,204577,28672,7548
342,204577,28672,7762
343,204047,28672,7246
344,204047,28672,7348
345,204047,28672,7443
346,204280,28672,7158
347,204280,28672,7563
348,204280,28672,7658
349,204280,28672,7753
350,204280,28672,7848
351,204280,28672,7943
352,204280,28672,8038
353,205426,28672,7499
354,205426,28672,7856
355,205426,28672,7880
356,205426,28672,7975
357,205426,28672,8070
358,205437,28672,7108
359,205437,28672,7508
360,205437,28672,7603
361,205437,28672,7698
362,205437,28672,7793
363,205437,28672,7888
364,206695,28672,7313
365,206695,28672,7639
366,206695,28672,7734
367,206695,28672,7829
368,206263,28672,7116
369,206263,28672,7211
370,206263,28672,7306
371,206263,28672,7638
372,205539,28672,6080
373,204896,20070,4554
374,204896,20070,5984
375,204896,20070,6079
376,204896,20070,6174
377,204333,20070,5396
378,204333,20070,6078
379,203824,20070,5982
380,203824,20070,7070
381,203824,20070,7165
382,203824,20070,7260
383,203824,20070,7355
384,204369,20070,6944
385,204369,20070,7039
386,204369,20070,7134
387,204369,20070,7256
388,204369,20070,7351
389,204369,20070,7446
390,203893,20070,6566
391,203893,20070,6762
392,203893,20070,6857
393,203893,20070,6952
394,204755,20070,6381
395,204755,20070,6476
396,204755,20070,6571
397,204755,20070,6784
398,204755,20070,6879
399,204755,20070,6973
400,204642,20070,6193
401,204642,20070,6498
402,204642,20070,6593
403,204642,20070,6686
404,204642,20070,6781
405,204642,20070,6877
406,204642,20070,6971
407,206152,20070,6455
408,206152,20070,6879
409,206152,20070,6972
410,206152,20070,7065
411,205858,20070,4923
412,205858,20070,5285
413,205164,20070,3515
414,205164,20070,3616
415,205164,20070,3713
416,205164,20070,3808
417,205164,20070,3903
418,205164,20070,4245
419,204551,20070,3770
420,204551,20070,3866
421,204551,20070,3965
422,205147,20070,3653
423,205147,20070,3748
424,205147,20070,3843
425,205147,20070,4333
426,204569,20070,3947
427,204569,20070,4042
428,204569,20070,4137
429,204085,20070,4042
430,203617,20070,3947
431,203617,20070,4235
432,203258,20070,4022
433,203258,20070,4117
434,203258,20070,4212
435,203258,20070,4307
436,203258,20070,4402
437,203258,20070,4497
438,203258,20070,4808
439,202960,20070,4619
440,202960,20070,4714
441,202960,20070,4809
442,202801,20070,3607
443,202801,20070,3920
444,202801,20070,4013
445,202801,20070,4108
446,202801,20070,4204
447,202801,20070,4298
448,202801,20070,4687
449,202486,20070,3941
450,202486,20070,4038
451,202486,20070,4133
452,202486,20070,4486
453,202486,20070,4581
454,202486,20070,4675
