Updated metrics: rtt=201777, cwnd=40960, bytesInFlight=4540, packetsInFlight=32
Updated metrics: rtt=201777, cwnd=40960, bytesInFlight=4637, packetsInFlight=33
Updated metrics: rtt=201600, cwnd=40960, bytesInFlight=4447, packetsInFlight=31
Updated metrics: rtt=201600, cwnd=40960, bytesInFlight=4543, packetsInFlight=32
Updated metrics: rtt=201600, cwnd=40960, bytesInFlight=4645, packetsInFlight=33
Updated metrics: rtt=201438, cwnd=40960, bytesInFlight=4455, packetsInFlight=31
Updated metrics: rtt=201438, cwnd=40960, bytesInFlight=4754, packetsInFlight=32
Updated metrics: rtt=201438, cwnd=40960, bytesInFlight=4849, packetsInFlight=33
Updated metrics: rtt=201438, cwnd=40960, bytesInFlight=4944, packetsInFlight=34
Updated metrics: rtt=201438, cwnd=40960, bytesInFlight=5039, packetsInFlight=35
Updated metrics: rtt=201296, cwnd=40960, bytesInFlight=4849, packetsInFlight=33
Updated metrics: rtt=201170, cwnd=40960, bytesInFlight=4720, packetsInFlight=26
Updated metrics: rtt=201170, cwnd=40960, bytesInFlight=4815, packetsInFlight=27
Updated metrics: rtt=201170, cwnd=40960, bytesInFlight=4910, packetsInFlight=28
Updated metrics: rtt=201170, cwnd=40960, bytesInFlight=5235, packetsInFlight=29
Updated metrics: rtt=201093, cwnd=40960, bytesInFlight=4680, packetsInFlight=27
Updated metrics: rtt=201004, cwnd=40960, bytesInFlight=4490, packetsInFlight=25
Updated metrics: rtt=201004, cwnd=40960, bytesInFlight=4585, packetsInFlight=26
Updated metrics: rtt=201004, cwnd=40960, bytesInFlight=4682, packetsInFlight=27
Updated metrics: rtt=200928, cwnd=40960, bytesInFlight=4491, packetsInFlight=25
Updated metrics: rtt=200928, cwnd=40960, bytesInFlight=4853, packetsInFlight=26
Updated metrics: rtt=200928, cwnd=40960, bytesInFlight=6262, packetsInFlight=27
Updated metrics: rtt=200928, cwnd=40960, bytesInFlight=6356, packetsInFlight=28
Updated metrics: rtt=200928, cwnd=40960, bytesInFlight=6449, packetsInFlight=29
Updated metrics: rtt=200858, cwnd=40960, bytesInFlight=5440, packetsInFlight=27
Updated metrics: rtt=200858, cwnd=40960, bytesInFlight=5534, packetsInFlight=28
Updated metrics: rtt=200858, cwnd=40960, bytesInFlight=5631, packetsInFlight=29
Updated metrics: rtt=200858, cwnd=40960, bytesInFlight=6050, packetsInFlight=30
