Chunk Index,Jitter (ms)
0,0
1,5
2,4.320493798938574
3,3.960744879438715
4,4.019950248448356
5,5.283622494715786
6,5.138887356744271
7,4.846067993745032
8,4.642796092394706
9,4.422668877499196
10,4.356054018440341
11,4.189935029992178
12,4.0294771857565514
13,3.8861344310672705
14,3.77477004450455
15,3.7536440627741996
16,3.804932147952054
17,3.7449554547450474
18,3.730535820351442
19,4.31161222746202
20,4.212065597618282
21,4.158035136737917
22,4.067018898667328
23,4.621056877670591
24,5.17130544446951
25,5.152841463496523
26,5.0771820705759385
27,5.184725407484992
28,5.235250500237578
29,5.148462553682085
30,5.0707789507662255
31,4.9991210164887985
32,4.985378068949046
33,5.0000865044420095
34,4.9355023729575285
35,4.866980583482946
36,4.801691934581373
37,4.743635479495329
38,4.733669460521374
39,4.731807265728392
40,4.674153366825822
41,4.624689730353899
42,4.599715466074833
43,4.5642792013744256
44,4.52722900559888
45,4.478049805072603
46,4.4311543662633825
47,4.389064694087897
48,4.41731853508436
49,4.438963843060676
50,4.410675246745879
51,4.368856633493901
52,4.368729295437905
53,4.356419982247854
54,4.320621320486363
55,4.282141367806247
56,4.245251543173849
57,4.213850950559536
58,4.258792888010687
59,4.367938746009253
60,4.386586282052345
61,4.4028417651263485
62,4.4077853201547175
63,4.406111478319064
64,4.377294833475534
65,4.356580996584131
66,4.3781999086087415
67,4.3653192449953355
68,4.3337937809754905
69,4.303392112446806
70,4.284191263562027
71,4.257527828432428
72,4.297529041686585
73,4.3548751888985135
74,4.334338344994412
75,4.3258067314798465
76,4.3061692106054075
77,4.279075428410322
78,4.252109573798839
79,4.225647139788177
80,4.245370089888737
81,4.236185863748062
82,4.251458810538966
83,4.2285204844636075
84,4.248117840916303
85,4.22387622223056
86,4.225447447344268
87,4.260378674047764
88,4.261790495199358
89,4.2470759730651935
90,4.231011838341563
91,4.224822565372976
92,4.216671842157286
93,4.2447208444764435
94,4.231317090614886
95,4.209351671345072
96,4.241563369215491
97,4.222184621980756
98,4.201267415087039
99,4.214392008344738
100,4.196735278913167
101,4.176608669355073
102,4.156428493623273
103,4.172988301079545
104,4.175036491483088
105,4.155443529775888
106,4.180987124133336
107,4.169618296109823
108,4.150947821179767
109,4.132155701785892
110,4.128112350924104
111,4.110082410788062
112,4.099284695466786
113,4.139021865201436
114,4.154538366162577
115,4.226389266345182
116,4.2533370294096935
117,4.242234401201463
118,4.235577554874887
119,4.236342434485463
120,4.221579501578729
121,4.276426762294105
122,4.325187969897814
123,4.320232872283579
124,4.31515283622724
125,4.308471326360201
126,4.296529404103949
127,4.282212197987595
128,4.3324942677554015
129,4.3935469085773775
130,4.395448748277644
131,4.38857431077285
132,4.3721529747842025
133,4.3718924934356584
134,4.3560594316757
135,4.389256307651222
136,4.389089393737351
137,4.378928607889498
138,4.367741970256631
139,4.354325787217177
140,4.343391190052707
141,4.328168097422707
142,4.3386747951356215
143,4.35597162659818
144,4.34101639084542
145,4.334875177387218
146,4.345304324747875
147,4.3306963188708965
148,4.3162346480315135
