Chunk Index,Jitter (ms)
0,0
1,0
2,2.8284271247461903
3,2.7726341266023544
4,8.662563131083086
5,8.159861109929098
6,8.400680244565232
7,8.192031188905473
8,8.86942313043338
9,8.648699324175862
10,8.831760866327848
11,8.67427550609015
12,8.798197771343212
13,8.739133193835178
14,8.987893091388115
15,8.888194417315589
16,8.778709697024768
17,8.858454843945541
18,8.73145046065168
19,8.694107199707167
20,8.588343099120378
21,8.484916125271514
22,8.50908554793074
23,8.736000705891302
24,8.715411636864895
25,8.902163821794069
26,8.883331596136303
27,9.262264346061741
28,9.242408589103974
29,9.140204228207011
30,9.09391398640275
31,9.136924999008146
32,9.095756283517385
33,9.051228672640475
34,9.037337516534121
35,8.997384736620159
36,8.98485049119683
37,8.94880019504
38,8.96284976283422
39,8.930145575521152
40,8.969443799377768
41,8.960893875480227
42,8.971079065518467
43,8.963280234489128
44,9.023152661382676
45,9.015870275475164
46,9.045131046819728
47,9.038401868324584
48,8.980983194618737
49,8.937024113204574
50,8.929688181931562
51,9.130120351514327
52,9.105450036275997
53,9.039863704861329
54,9.032796076447077
55,9.102029376765943
56,9.095268827845873
57,9.182908178563771
58,9.161138461697453
59,9.109503584474599
60,9.103631614524186
61,9.106049378064805
62,9.10054140518425
63,9.281079017785324
64,9.238509575228985
65,9.231936424052165
66,9.164081870260574
67,9.157172392631566
68,9.230188909962218
69,9.2107856032247
70,9.175772589734777
71,9.169696468985947
72,9.185541846862062
73,9.179774588994434
74,9.227052015074419
75,9.22149722552322
76,9.234816459901563
77,9.229531612189627
78,9.24215348593188
79,9.237119410292365
80,9.230919593583833
81,9.441993923763931
82,9.424582798363595
83,9.373304835404376
84,9.355745047719283
85,9.37982974564721
86,9.373096318808669
87,9.396009516529384
88,9.363414231461762
89,9.35096878852403
90,9.345389881626597
91,9.354673932619635
92,9.349324787056538
93,9.412946066146501
94,9.407688256843446
95,9.386653636576536
96,9.364321069199002
97,9.35883411150648
98,9.347784954891813
99,9.333654161152534
100,9.332186083041893
101,9.327281156870724
102,9.335889213711193
103,9.331164776954408
104,9.403410391136125
105,9.398707712083263
106,9.367805854711916
107,9.354963728678129
108,9.362357227256934
109,9.349950280505979
110,9.447817804194854
111,9.422464878563098
112,9.410155259421694
113,9.372629483824632
114,9.367901597490478
115,9.384993682519314
116,9.380410995987802
117,9.387306152753071
118,9.375425042738618
119,9.373540627153053
120,9.362027828255568
121,9.387965816769583
122,9.376779140235122
123,9.367215811005314
124,9.363507035293987
125,9.369611494161548
126,9.366015131552956
127,9.411981097706994
128,9.408425928752562
129,9.404421093011234
130,9.375456790145822
131,9.364773271177969
132,9.370931004965554
133,9.367178923725358
134,9.447961581850663
135,9.444153827765167
136,9.416148927307663
137,9.412374043203686
138,9.465477222230412
139,9.455383953826814
140,9.431509559279055
141,9.427902216838891
142,9.440523180453548
143,9.430829136106988
144,9.42094208779785
145,9.402353446259708
146,9.375753937938105
147,9.357566576194028
148,9.354370987138557
149,9.359734089290265
150,9.356619885783077
151,9.416767531062455
152,9.407801453127536
153,9.382982068864788
154,9.37418244787656
155,9.372408692936377
156,9.369519846082389
157,9.397606802777624
158,9.389130372654394
159,9.376397812459755
160,9.368111128436361
161,9.359663444903315
162,9.352542921121625
163,9.349738422347958
164,9.377040518675855
165,9.368887662436466
166,9.349125402530866
167,9.346456926887742
168,9.357826812715114
169,9.355214300168441
170,9.366299925603734
171,9.358529339054323
172,9.351647243021247
173,9.349204062057996
174,9.421857349714408
175,9.419344160900355
176,9.416586055945372
177,9.391418627953607
178,9.37927768267
179,9.368207003964836
180,9.365584463292278
181,9.415748600099617
182,9.413113548651442
183,9.398219512729629
184,9.395623991125603
185,9.40554328156117
186,9.402997861521612
187,9.52738274426067
188,9.529886362281205
189,9.505030014043468
190,9.502131728586338
191,9.505136986033607
192,9.497704712326291
193,9.494716633892379
194,9.49273572571077
195,9.489806890491794
196,9.492985675553003
197,9.490114016948807
198,9.488161117087094
199,9.480922950852415
200,9.495613673828458
201,9.497790207289489
202,9.500714878252323
203,9.502847668061593
204,9.511124392520266
205,9.508408946889658
206,9.506318441813338
207,9.495638986572402
208,9.4976112711357
209,9.487656379884683
210,9.489583767760994
211,9.523822036727438
212,9.525674664570918
