Index,RTT (μs),CWND (B),Bytes In Flight (B)
337,805,40960,96
338,805,40960,192
339,792,40960,0
340,792,40960,96
341,792,40960,192
342,792,40960,225
343,792,40960,1666
344,792,40960,3107
345,792,40960,4545
346,792,40960,4569
347,832,40960,4377
348,942,40960,0
349,942,40960,96
350,942,40960,191
351,862,40960,0
352,862,40960,33
353,862,40960,1474
354,862,40960,2915
355,862,40960,4109
356,801,40960,0
357,801,40960,97
358,801,40960,193
359,785,40960,0
360,785,40960,96
361,785,40960,192
362,725,40960,0
363,725,40960,33
364,725,40960,1474
365,725,40960,2915
366,725,40960,3996
367,725,40960,4020
368,696,40960,0
369,696,40960,96
370,696,40960,192
371,658,40960,0
372,658,40960,32
373,658,40960,1473
374,658,40960,2914
375,658,40960,4005
376,647,40960,0
377,647,40960,96
378,647,40960,192
379,647,40960,288
380,615,40960,96
381,722,40960,0
382,722,40960,103
383,722,40960,199
384,701,40960,0
385,701,40960,32
386,701,40960,1473
387,701,40960,2914
388,701,40960,4355
389,701,40960,5796
390,701,40960,6839
391,701,40960,6863
392,669,40960,0
393,669,40960,95
394,669,40960,190
395,662,40960,0
396,662,40960,32
397,662,40960,1473
398,662,40960,2914
399,662,40960,4355
400,662,40960,4709
401,662,40960,4733
402,784,40960,0
403,784,40960,95
404,784,40960,190
405,761,40960,0
406,761,40960,95
407,761,40960,190
408,699,40960,0
409,699,40960,32
410,699,40960,1473
411,699,40960,2914
412,699,40960,4355
413,699,40960,4899
414,676,40960,0
415,676,40960,95
416,676,40960,190
417,664,40960,0
418,664,40960,94
419,664,40960,190
420,650,40960,0
421,650,40960,32
422,650,40960,1473
423,650,40960,2914
424,650,40960,4355
425,650,40960,4915
426,650,40960,4939
427,624,40960,0
428,624,40960,95
429,624,40960,188
430,617,40960,0
431,617,40960,95
432,578,40960,0
433,578,40960,39
434,578,40960,1480
435,578,40960,2921
436,578,40960,4362
437,578,40960,4644
438,610,40960,0
439,610,40960,95
440,610,40960,188
441,604,40960,0
442,604,40960,94
443,604,40960,189
444,604,40960,0
445,604,40960,32
446,604,40960,1473
447,604,40960,2914
448,604,40960,4355
449,604,40960,4614
450,604,40960,4638
451,591,40960,0
452,591,40960,93
453,591,40960,186
454,552,40960,0
455,552,40960,32
456,552,40960,1473
457,552,40960,2914
458,552,40960,4355
459,552,40960,5241
460,552,40960,5265
461,593,40960,0
462,593,40960,94
463,593,40960,185
464,591,40960,0
465,591,40960,93
466,591,40960,185
467,558,40960,0
468,558,40960,32
469,558,40960,1473
470,558,40960,2914
471,558,40960,4355
472,558,40960,4693
