Index,RTT (μs),CWND (B),Bytes In Flight (B)
1352,302,40960,190
1353,294,40960,95
1354,290,40960,0
1355,290,40960,130
1356,281,40960,0
1357,281,40960,95
1358,281,40960,190
1359,281,40960,0
1360,281,40960,288
1361,274,40960,0
1362,274,40960,102
1363,274,40960,197
1364,270,40960,0
1365,270,40960,95
1366,270,40960,190
1367,274,40960,0
1368,274,40960,95
1369,275,40960,0
1370,275,40960,592
1371,460,40960,0
1372,460,40960,95
1373,460,40960,190
1374,588,40960,95
1375,534,40960,0
1376,534,40960,109
1377,498,40960,0
1378,498,40960,95
1379,498,40960,190
1380,460,40960,0
1381,460,40960,95
1382,460,40960,190
1383,434,40960,0
1384,434,40960,134
1385,406,40960,0
1386,406,40960,95
1387,406,40960,190
1388,388,40960,0
1389,388,40960,1000
1390,388,40960,1095
1391,370,40960,95
1392,361,40960,0
1393,361,40960,95
1394,352,40960,0
1395,352,40960,95
1396,352,40960,190
1397,340,40960,0
1398,340,40960,96
1399,327,40960,0
1400,327,40960,95
1401,327,40960,190
1402,316,40960,95
1403,316,40960,190
1404,305,40960,0
1405,305,40960,74
1406,305,40960,169
1407,295,40960,0
1408,295,40960,96
1409,439,40960,0
1410,439,40960,94
1411,439,40960,189
1412,411,40960,0
1413,411,40960,33
1414,411,40960,1474
1415,411,40960,2915
1416,411,40960,4356
1417,411,40960,5797
1418,411,40960,6577
1419,411,40960,6601
1420,478,40960,0
1421,478,40960,95
1422,478,40960,190
1423,454,40960,0
1424,454,40960,95
1425,454,40960,190
1426,431,40960,0
1427,431,40960,338
1428,407,40960,0
1429,407,40960,95
1430,407,40960,190
1431,378,40960,0
1432,378,40960,322
1433,358,40960,0
1434,358,40960,95
1435,358,40960,190
1436,342,40960,0
1437,342,40960,95
1438,342,40960,190
1439,339,40960,0
1440,339,40960,330
1441,324,40960,0
1442,324,40960,95
1443,324,40960,190
1444,312,40960,0
1445,312,40960,95
1446,309,40960,0
1447,309,40960,274
1448,304,40960,0
1449,304,40960,95
1450,304,40960,190
1451,300,40960,0
1452,300,40960,95
1453,300,40960,190
1454,287,40960,0
1455,287,40960,327
1456,282,40960,0
1457,282,40960,95
1458,282,40960,190
1459,266,40960,0
1460,266,40960,273
1461,263,40960,0
1462,263,40960,95
1463,426,40960,0
1464,426,40960,95
1465,395,40960,0
1466,395,40960,104
1467,395,40960,198
1468,378,40960,0
1469,378,40960,34
1470,378,40960,1475
1471,378,40960,2302
1472,416,40960,0
1473,416,40960,93
1474,416,40960,186
1475,392,40960,0
1476,392,40960,93
