Index,RTT (μs),CWND (B),Bytes In Flight (B)
349,356,40960,190
350,335,40960,0
351,335,40960,339
352,475,40960,0
353,475,40960,95
354,475,40960,190
355,442,40960,0
356,442,40960,419
357,414,40960,0
358,414,40960,95
359,414,40960,190
360,395,40960,0
361,395,40960,102
362,395,40960,197
363,382,40960,0
364,382,40960,271
365,364,40960,0
366,364,40960,95
367,364,40960,190
368,347,40960,0
369,347,40960,368
370,328,40960,0
371,328,40960,95
372,328,40960,190
373,352,40960,0
374,352,40960,95
375,352,40960,190
376,343,40960,0
377,343,40960,373
378,323,40960,0
379,323,40960,96
380,323,40960,192
381,318,40960,0
382,318,40960,96
383,302,40960,0
384,302,40960,263
385,302,40960,0
386,302,40960,96
387,302,40960,192
388,296,40960,0
389,296,40960,96
390,296,40960,192
391,297,40960,0
392,297,40960,285
393,284,40960,0
394,284,40960,96
395,284,40960,192
396,282,40960,0
397,282,40960,805
398,282,40960,901
399,273,40960,96
400,273,40960,192
401,267,40960,0
402,267,40960,96
403,267,40960,192
404,266,40960,0
405,266,40960,227
406,263,40960,0
407,263,40960,96
408,263,40960,192
409,259,40960,0
410,259,40960,96
411,259,40960,192
412,255,40960,0
413,255,40960,102
414,265,40960,0
415,265,40960,323
416,264,40960,0
417,264,40960,96
418,264,40960,192
419,279,40960,0
420,279,40960,235
421,278,40960,0
422,278,40960,96
423,278,40960,192
424,263,40960,0
425,263,40960,96
426,263,40960,192
427,272,40960,0
428,272,40960,300
429,269,40960,0
430,269,40960,96
431,269,40960,191
432,262,40960,0
433,262,40960,498
434,248,40960,0
435,248,40960,97
436,248,40960,193
437,243,40960,0
438,243,40960,96
439,243,40960,192
440,241,40960,0
441,241,40960,397
442,245,40960,0
443,245,40960,96
444,245,40960,192
445,247,40960,0
446,247,40960,39
447,247,40960,1480
448,247,40960,2921
449,247,40960,3684
450,277,40960,0
451,277,40960,96
452,277,40960,192
453,267,40960,0
454,267,40960,96
455,258,40960,0
456,258,40960,96
457,258,40960,192
458,257,40960,0
459,257,40960,369
460,252,40960,0
461,252,40960,95
462,252,40960,190
463,244,40960,0
464,244,40960,474
465,241,40960,0
466,241,40960,95
467,241,40960,190
468,247,40960,0
469,247,40960,95
470,245,40960,0
471,245,40960,95
472,244,40960,0
473,244,40960,278
474,234,40960,0
475,234,40960,95
476,415,40960,0
477,415,40960,95
478,386,40960,0
479,386,40960,94
480,386,40960,190
481,372,40960,0
482,372,40960,282
483,356,40960,0
484,356,40960,95
485,356,40960,188
486,331,40960,0
487,331,40960,95
488,317,40960,0
489,317,40960,428
490,304,40960,0
491,304,40960,95
492,304,40960,188
493,296,40960,0
494,296,40960,94
495,296,40960,189
496,288,40960,0
497,288,40960,362
498,273,40960,0
499,273,40960,93
500,273,40960,186
501,262,40960,0
502,262,40960,534
503,258,40960,0
504,258,40960,94
505,258,40960,185
506,263,40960,0
507,263,40960,93
508,263,40960,185
509,253,40960,0
510,253,40960,249
511,254,40960,0
512,254,40960,92
513,254,40960,183
514,246,40960,0
515,246,40960,385
516,251,40960,0
517,251,40960,93
518,251,40960,185
519,252,40960,0
520,252,40960,91
521,252,40960,183
522,248,40960,0
523,248,40960,94
524,243,40960,0
525,243,40960,314
526,230,40960,0
527,230,40960,94
528,230,40960,189
529,223,40960,0
530,223,40960,257
531,223,40960,352
532,259,40960,0
533,259,40960,101
534,249,40960,0
535,249,40960,95
536,249,40960,190
537,250,40960,0
538,250,40960,536
539,248,40960,0
540,248,40960,95
541,248,40960,190
542,248,40960,0
543,248,40960,95
544,248,40960,190
545,285,40960,0
546,285,40960,543
547,278,40960,0
548,278,40960,95
549,278,40960,190
550,263,40960,0
551,263,40960,460
552,256,40960,0
553,256,40960,95
554,256,40960,190
555,253,40960,0
556,253,40960,95
557,467,40960,0
558,467,40960,96
559,467,40960,191
560,434,40960,0
561,434,40960,898
562,404,40960,0
563,404,40960,111
564,404,40960,205
565,387,40960,0
566,387,40960,340
567,387,40960,436
568,371,40960,0
569,371,40960,97
570,355,40960,0
571,355,40960,95
572,355,40960,192
573,346,40960,0
574,346,40960,418
575,504,40960,0
576,504,40960,96
577,504,40960,195
578,461,40960,0
579,461,40960,366
580,461,40960,465
581,427,40960,0
582,427,40960,97
583,398,40960,0
584,398,40960,103
585,398,40960,205
586,372,40960,0
587,372,40960,299
588,358,40960,0
589,358,40960,95
590,358,40960,190
591,342,40960,0
592,342,40960,95
593,328,40960,0
594,328,40960,95
595,328,40960,190
596,317,40960,0
597,317,40960,325
598,309,40960,0
599,309,40960,95
600,309,40960,192
601,301,40960,0
602,301,40960,362
603,290,40960,0
604,290,40960,94
605,290,40960,187
606,287,40960,0
607,287,40960,94
608,287,40960,191
609,296,40960,0
610,296,40960,419
611,277,40960,0
612,277,40960,96
613,277,40960,190
614,274,40960,0
615,274,40960,313
616,276,40960,0
617,276,40960,102
618,276,40960,196
619,435,40960,94
620,419,40960,0
621,419,40960,96
622,419,40960,194
623,402,40960,0
624,402,40960,98
625,393,40960,0
626,393,40960,398
627,540,40960,0
628,540,40960,103
629,540,40960,199
630,492,40960,0
631,492,40960,409
632,492,40960,505
633,451,40960,0
634,451,40960,96
635,425,40960,0
636,425,40960,96
637,425,40960,192
638,395,40960,0
639,395,40960,354
640,378,40960,0
641,378,40960,96
642,530,40960,0
643,530,40960,96
644,482,40960,0
645,482,40960,96
646,482,40960,192
647,441,40960,0
648,441,40960,395
649,580,40960,0
650,580,40960,96
651,580,40960,192
652,543,40960,0
653,543,40960,408
654,672,40960,0
655,672,40960,96
656,672,40960,192
657,645,40960,0
658,645,40960,96
659,645,40960,192
660,602,40960,0
661,602,40960,96
662,559,40960,0
663,559,40960,33
664,559,40960,1474
665,559,40960,1608
666,587,40960,0
667,587,40960,103
668,587,40960,199
669,532,40960,0
670,532,40960,32
671,532,40960,1473
672,532,40960,2914
673,532,40960,3468
674,569,40960,0
675,569,40960,96
676,569,40960,192
677,523,40960,0
678,523,40960,96
679,523,40960,192
680,485,40960,0
681,485,40960,272
682,454,40960,0
683,454,40960,95
684,454,40960,190
685,428,40960,0
686,428,40960,335
687,396,40960,0
688,396,40960,95
689,396,40960,190
690,366,40960,0
691,366,40960,95
692,366,40960,190
693,349,40960,0
694,349,40960,339
695,335,40960,0
696,335,40960,95
697,335,40960,190
698,330,40960,0
699,330,40960,95
700,314,40960,0
701,314,40960,95
702,314,40960,190
703,300,40960,0
704,300,40960,286
705,287,40960,0
706,287,40960,95
707,292,40960,0
708,292,40960,101
709,285,40960,0
710,285,40960,260
711,277,40960,0
712,277,40960,95
713,277,40960,190
714,268,40960,0
715,268,40960,95
716,268,40960,190
717,267,40960,0
718,267,40960,243
719,262,40960,0
720,262,40960,95
721,262,40960,190
722,260,40960,95
723,266,40960,0
724,266,40960,286
725,260,40960,0
726,260,40960,95
727,260,40960,190
728,257,40960,0
729,257,40960,95
730,257,40960,190
731,265,40960,0
732,265,40960,629
733,273,40960,0
734,273,40960,95
735,273,40960,190
736,268,40960,0
737,268,40960,95
738,269,40960,0
739,269,40960,403
740,262,40960,0
741,262,40960,95
742,262,40960,190
743,257,40960,0
744,257,40960,95
745,257,40960,190
746,256,40960,95
747,244,40960,0
748,244,40960,374
749,240,40960,0
750,240,40960,95
751,240,40960,190
752,232,40960,0
753,232,40960,305
754,232,40960,400
755,252,40960,0
756,252,40960,102
757,259,40960,0
758,259,40960,95
759,259,40960,190
760,250,40960,0
761,250,40960,501
762,244,40960,0
763,244,40960,95
764,244,40960,190
765,235,40960,0
766,235,40960,95
767,235,40960,190
768,238,40960,0
769,238,40960,95
770,238,40960,581
771,241,40960,0
772,241,40960,95
773,241,40960,190
774,274,40960,0
775,274,40960,437
776,268,40960,0
777,268,40960,95
778,268,40960,190
779,259,40960,0
780,259,40960,95
781,259,40960,190
782,254,40960,0
783,254,40960,1167
784,246,40960,0
785,246,40960,95
786,246,40960,190
787,241,40960,0
788,241,40960,249
789,246,40960,0
790,246,40960,95
791,246,40960,190
792,246,40960,0
793,246,40960,102
794,246,40960,197
795,241,40960,0
796,241,40960,386
797,246,40960,0
798,246,40960,95
799,246,40960,190
800,240,40960,0
801,240,40960,395
802,243,40960,0
803,243,40960,95
804,243,40960,190
805,249,40960,0
806,249,40960,95
807,249,40960,0
808,249,40960,95
809,249,40960,190
810,247,40960,0
811,247,40960,363
812,243,40960,0
813,243,40960,94
814,243,40960,188
815,230,40960,0
816,230,40960,342
817,224,40960,0
818,224,40960,95
819,224,40960,191
820,217,40960,0
821,217,40960,96
822,217,40960,193
823,211,40960,0
824,211,40960,290
825,207,40960,0
826,207,40960,95
827,207,40960,192
828,217,40960,0
829,217,40960,96
830,217,40960,192
831,223,40960,96
832,229,40960,0
833,229,40960,465
834,228,40960,0
835,228,40960,96
836,228,40960,192
837,220,40960,0
838,220,40960,96
839,219,40960,0
840,219,40960,223
841,222,40960,0
842,222,40960,103
843,222,40960,199
844,229,40960,0
845,229,40960,96
846,229,40960,192
847,234,40960,0
848,234,40960,390
849,236,40960,0
850,236,40960,96
851,236,40960,192
852,239,40960,0
853,239,40960,420
854,244,40960,0
855,244,40960,96
856,244,40960,192
857,235,40960,0
858,235,40960,95
859,235,40960,189
860,235,40960,0
861,235,40960,350
862,228,40960,0
863,228,40960,95
864,228,40960,189
865,241,40960,0
866,241,40960,486
867,241,40960,582
868,237,40960,0
869,237,40960,94
870,227,40960,0
871,227,40960,94
872,227,40960,190
873,227,40960,286
874,239,40960,0
875,239,40960,377
876,256,40960,0
877,256,40960,105
878,256,40960,205
879,313,40960,0
880,313,40960,98
881,313,40960,196
882,313,40960,521
883,305,40960,325
884,293,40960,0
885,293,40960,96
886,293,40960,192
887,285,40960,0
888,285,40960,32
889,285,40960,1473
890,285,40960,2914
891,285,40960,3574
892,384,40960,0
893,384,40960,96
894,384,40960,192
895,364,40960,0
896,364,40960,96
897,364,40960,192
898,339,40960,0
899,339,40960,214
900,327,40960,0
901,327,40960,95
902,327,40960,190
903,312,40960,0
904,312,40960,405
905,310,40960,0
906,310,40960,95
907,310,40960,190
908,291,40960,95
909,291,40960,190
910,282,40960,0
911,282,40960,95
912,282,40960,190
913,289,40960,0
914,289,40960,357
915,288,40960,0
916,288,40960,95
917,288,40960,190
918,283,40960,0
919,283,40960,400
920,269,40960,0
921,269,40960,95
922,269,40960,190
923,265,40960,0
924,265,40960,95
925,265,40960,190
926,263,40960,0
927,263,40960,326
928,253,40960,0
929,253,40960,95
930,253,40960,190
931,242,40960,0
932,242,40960,339
933,242,40960,434
934,246,40960,0
935,246,40960,95
936,251,40960,0
937,251,40960,95
938,251,40960,190
939,248,40960,0
940,248,40960,1088
941,245,40960,0
942,245,40960,95
943,245,40960,190
944,248,40960,0
945,248,40960,95
946,244,40960,0
947,244,40960,95
948,244,40960,190
949,260,40960,0
950,260,40960,122
951,261,40960,0
952,261,40960,95
953,261,40960,190
954,253,40960,0
955,253,40960,196
956,248,40960,0
957,248,40960,95
958,248,40960,190
959,247,40960,0
960,247,40960,95
961,247,40960,190
962,251,40960,0
963,251,40960,220
964,251,40960,0
965,251,40960,95
966,251,40960,189
967,253,40960,0
968,253,40960,305
969,251,40960,0
970,251,40960,95
971,251,40960,188
972,238,40960,0
973,238,40960,95
974,238,40960,191
975,241,40960,0
976,241,40960,94
977,244,40960,0
978,244,40960,424
979,242,40960,0
980,242,40960,93
981,242,40960,186
982,244,40960,0
983,244,40960,362
984,244,40960,457
985,242,40960,0
986,242,40960,97
987,237,40960,0
988,237,40960,95
989,237,40960,190
990,241,40960,0
991,241,40960,342
992,249,40960,0
993,249,40960,96
994,249,40960,195
995,248,40960,0
996,248,40960,95
997,248,40960,190
998,241,40960,0
999,241,40960,490
1000,251,40960,0
1001,251,40960,95
1002,251,40960,190
1003,241,40960,0
1004,241,40960,288
1005,242,40960,0
1006,242,40960,95
1007,242,40960,190
1008,239,40960,0
1009,239,40960,95
1010,239,40960,190
1011,239,40960,285
1012,248,40960,95
1013,243,40960,0
1014,243,40960,318
1015,240,40960,0
1016,240,40960,95
1017,240,40960,190
1018,234,40960,0
1019,234,40960,313
1020,227,40960,0
1021,227,40960,93
1022,227,40960,188
1023,251,40960,0
1024,251,40960,96
1025,251,40960,190
1026,251,40960,0
1027,251,40960,389
1028,250,40960,0
1029,250,40960,97
1030,250,40960,192
1031,242,40960,95
1032,262,40960,0
1033,262,40960,353
1034,262,40960,448
1035,251,40960,0
1036,251,40960,94
1037,241,40960,0
1038,241,40960,97
1039,241,40960,193
1040,241,40960,0
1041,241,40960,331
1042,416,40960,0
1043,416,40960,95
1044,416,40960,189
1045,399,40960,0
1046,399,40960,94
1047,386,40960,0
1048,386,40960,104
1049,386,40960,200
1050,363,40960,0
1051,363,40960,1247
1052,340,40960,0
1053,340,40960,96
1054,340,40960,189
1055,333,40960,0
1056,333,40960,172
1057,313,40960,0
1058,313,40960,93
1059,313,40960,187
1060,298,40960,0
1061,298,40960,98
1062,298,40960,194
1063,289,40960,0
1064,289,40960,233
1065,276,40960,0
1066,276,40960,97
1067,276,40960,192
1068,261,40960,0
1069,261,40960,290
1070,248,40960,0
1071,248,40960,94
1072,248,40960,189
1073,248,40960,0
1074,248,40960,93
1075,248,40960,187
1076,243,40960,0
1077,243,40960,293
1078,230,40960,0
1079,230,40960,95
1080,230,40960,190
1081,248,40960,0
1082,248,40960,96
1083,245,40960,0
1084,245,40960,282
1085,400,40960,0
1086,400,40960,97
1087,400,40960,191
1088,391,40960,0
1089,391,40960,95
1090,391,40960,189
1091,367,40960,0
1092,367,40960,248
1093,346,40960,0
1094,346,40960,95
1095,346,40960,191
1096,324,40960,0
1097,324,40960,266
1098,324,40960,361
1099,323,40960,0
1100,323,40960,101
1101,311,40960,0
1102,311,40960,96
1103,311,40960,191
1104,304,40960,0
1105,304,40960,32
1106,304,40960,1473
1107,304,40960,2914
1108,304,40960,3379
1109,304,40960,3403
1110,319,40960,0
1111,319,40960,96
1112,319,40960,191
1113,308,40960,0
1114,308,40960,97
1115,308,40960,189
1116,292,40960,92
1117,292,40960,183
1118,292,40960,0
1119,292,40960,238
1120,286,40960,0
1121,286,40960,92
1122,286,40960,187
1123,275,40960,0
1124,275,40960,398
1125,259,40960,0
1126,259,40960,95
1127,259,40960,190
1128,256,40960,0
1129,256,40960,95
1130,256,40960,190
1131,258,40960,0
1132,258,40960,406
1133,253,40960,0
1134,253,40960,95
1135,241,40960,0
1136,241,40960,101
1137,238,40960,0
1138,238,40960,364
1139,239,40960,0
1140,239,40960,95
1141,239,40960,190
1142,238,40960,0
1143,238,40960,95
1144,238,40960,190
1145,231,40960,95
1146,232,40960,0
1147,232,40960,343
1148,249,40960,0
1149,249,40960,95
