Index,RTT (μs),CWND (B),Bytes In Flight (B)
342,410,40960,0
343,410,40960,33
344,410,40960,1474
345,410,40960,1725
346,419,40960,0
347,419,40960,97
348,419,40960,191
349,398,40960,0
350,398,40960,96
351,409,40960,0
352,409,40960,33
353,409,40960,1474
354,409,40960,1695
355,409,40960,1719
356,433,40960,0
357,433,40960,95
358,433,40960,189
359,407,40960,0
360,407,40960,97
361,407,40960,193
362,424,40960,0
363,424,40960,33
364,424,40960,1474
365,424,40960,1574
366,454,40960,0
367,454,40960,100
368,454,40960,196
369,429,40960,0
370,429,40960,33
371,429,40960,1474
372,429,40960,1751
373,483,40960,0
374,483,40960,100
375,483,40960,200
376,454,40960,0
377,454,40960,97
378,454,40960,192
379,422,40960,95
380,427,40960,0
381,427,40960,40
382,427,40960,1481
383,427,40960,1787
384,427,40960,1811
385,456,40960,0
386,456,40960,97
387,456,40960,193
388,429,40960,0
389,429,40960,33
390,429,40960,1474
391,429,40960,1648
392,429,40960,1747
393,407,40960,0
394,407,40960,101
395,396,40960,0
396,396,40960,95
397,396,40960,191
398,373,40960,0
399,373,40960,93
400,357,40960,0
401,357,40960,33
402,357,40960,1474
403,357,40960,1855
404,357,40960,1879
405,382,40960,0
406,382,40960,95
407,382,40960,191
408,377,40960,96
409,361,40960,0
410,361,40960,95
411,361,40960,186
412,339,40960,0
413,339,40960,33
414,339,40960,1474
415,339,40960,1783
416,339,40960,1807
417,360,40960,0
418,360,40960,98
419,360,40960,193
420,535,40960,95
421,493,40960,0
422,493,40960,33
423,493,40960,1474
424,493,40960,1847
425,493,40960,1871
426,519,40960,0
427,519,40960,95
428,519,40960,186
429,479,40960,0
430,479,40960,96
431,479,40960,189
432,457,40960,0
433,457,40960,33
434,457,40960,1474
435,457,40960,1709
436,457,40960,1733
437,490,40960,0
438,490,40960,95
439,490,40960,188
440,459,40960,0
441,459,40960,33
442,459,40960,1474
443,459,40960,1982
444,528,40960,0
445,528,40960,96
446,528,40960,190
447,528,40960,290
448,545,40960,0
449,545,40960,101
450,545,40960,191
451,570,40960,0
452,570,40960,33
453,570,40960,1474
454,570,40960,1862
455,554,40960,0
456,554,40960,91
457,554,40960,184
458,508,40960,0
459,508,40960,33
460,508,40960,1474
461,508,40960,1958
462,508,40960,2057
463,472,40960,0
464,472,40960,97
465,448,40960,0
466,448,40960,99
467,448,40960,196
468,427,40960,0
469,427,40960,33
470,427,40960,1474
471,427,40960,2054
472,427,40960,2078
473,460,40960,0
474,460,40960,93
475,460,40960,186
476,431,40960,0
477,431,40960,33
478,431,40960,1474
479,431,40960,2050
480,431,40960,2074
481,493,40960,0
482,493,40960,90
483,493,40960,183
484,529,40960,0
485,529,40960,93
486,529,40960,187
487,497,40960,0
488,497,40960,33
489,497,40960,1474
490,497,40960,2073
491,541,40960,0
492,541,40960,91
493,541,40960,181
494,504,40960,0
495,504,40960,88
496,472,40960,0
497,472,40960,100
498,472,40960,188
499,438,40960,0
500,438,40960,33
501,438,40960,1474
502,438,40960,2049
503,473,40960,0
504,473,40960,97
505,473,40960,194
506,442,40960,0
507,442,40960,33
508,442,40960,1474
509,442,40960,2152
510,512,40960,0
511,512,40960,92
512,512,40960,185
513,473,40960,0
514,473,40960,93
515,473,40960,189
516,469,40960,0
517,469,40960,33
518,469,40960,1474
519,469,40960,2033
520,502,40960,0
521,502,40960,94
522,502,40960,189
523,587,40960,0
524,587,40960,33
525,587,40960,1474
526,587,40960,2241
527,613,40960,0
528,613,40960,91
529,567,40960,0
530,567,40960,32
531,567,40960,122
532,564,40960,0
533,564,40960,97
534,564,40960,194
535,564,40960,290
536,540,40960,96
537,500,40960,0
538,500,40960,33
539,500,40960,1474
540,500,40960,2258
541,500,40960,2282
542,527,40960,0
543,527,40960,94
544,527,40960,188
545,555,40960,0
546,555,40960,33
547,555,40960,1474
548,555,40960,2284
549,555,40960,2308
550,555,40960,2404
551,555,40960,2497
552,590,40960,93
553,659,40960,0
554,659,40960,94
555,659,40960,191
556,600,40960,97
557,549,40960,0
558,549,40960,33
559,549,40960,1474
560,549,40960,2149
561,588,40960,0
562,588,40960,101
563,588,40960,195
564,557,40960,0
565,557,40960,33
566,557,40960,1474
567,557,40960,2220
568,557,40960,2244
569,557,40960,2339
570,545,40960,0
571,545,40960,93
572,500,40960,0
573,500,40960,98
574,500,40960,194
575,462,40960,0
576,462,40960,33
577,462,40960,1474
578,462,40960,2270
579,505,40960,0
580,505,40960,96
581,505,40960,192
582,470,40960,0
583,470,40960,95
584,451,40960,0
585,451,40960,92
586,425,40960,0
587,425,40960,97
588,400,40960,0
589,400,40960,33
590,400,40960,1474
591,400,40960,2312
592,400,40960,2336
593,439,40960,0
594,439,40960,89
595,439,40960,182
596,418,40960,0
597,418,40960,33
598,418,40960,1474
599,418,40960,2374
600,418,40960,2398
601,418,40960,2488
602,474,40960,90
603,474,40960,181
604,451,40960,0
605,451,40960,94
606,451,40960,186
607,433,40960,0
608,433,40960,33
609,433,40960,1474
610,433,40960,2380
611,462,40960,0
612,462,40960,91
613,435,40960,0
614,435,40960,99
615,406,40960,0
616,406,40960,33
617,406,40960,1474
618,406,40960,2768
619,406,40960,2792
620,451,40960,0
621,451,40960,89
622,451,40960,184
623,420,40960,0
624,420,40960,91
625,420,40960,182
626,398,40960,0
627,398,40960,32
628,398,40960,1473
629,398,40960,1847
