Chunk Index,Chunk Timestamp (μs),Relative Chunk Timestamp (μs),Chunk Type (1=key 0=delta),Chunk Size (B)
231,19799913,33334,0,236
232,19833249,33336,0,261
233,19866584,33335,0,673
234,19900827,34243,0,272
235,19933249,32422,0,252
236,19967343,34094,0,261
237,19999913,32570,0,1210
238,20033251,33338,0,118
239,20066566,33315,1,2937
240,20099903,33337,0,498
241,20133260,33357,0,187
242,20166601,33341,0,162
243,20202162,35561,0,146
244,20233244,31082,0,177
245,20266571,33327,0,200
246,20299923,33352,0,1795
247,20333241,33318,0,145
248,20366572,33331,0,112
249,20399925,33353,0,211
250,20435060,35135,0,59
251,20466598,31538,0,357
252,20500169,33571,0,89
253,20533233,33064,0,97
254,20566561,33328,0,271
255,20599887,33326,0,95
256,20633235,33348,0,161
257,20666557,33322,0,931
258,20699891,33334,0,303
259,20733408,33517,0,268
260,20766577,33169,0,293
261,20799895,33318,0,641
262,20833257,33362,0,439
263,20866576,33319,0,361
264,20899940,33364,0,351
265,20933240,33300,0,509
266,20966749,33509,0,521
267,20999894,33145,0,306
268,21033890,33996,0,254
269,21066560,32670,1,1591
270,21099914,33354,0,941
271,21133246,33332,0,268
272,21166561,33315,0,182
273,21199895,33334,0,164
274,21233234,33339,0,319
275,21268065,34831,0,249
276,21299898,31833,0,116
277,21333230,33332,0,580
278,21366556,33326,0,156
279,21399890,33334,0,482
280,21433239,33349,0,156
281,21466555,33316,0,610
282,21501890,35335,0,173
283,21533236,31346,0,159
284,21566683,33447,0,472
285,21599901,33218,0,149
286,21633216,33315,0,331
287,21666552,33336,0,435
288,21699892,33340,0,223
289,21733248,33356,0,302
290,21766563,33315,0,237
291,21801375,34812,0,292
292,21833244,31869,0,246
293,21866560,33316,0,488
294,21899904,33344,0,801
295,21933262,33358,0,532
296,21966552,33290,0,285
297,21999900,33348,0,409
298,22033618,33718,0,637
299,22066554,32936,1,1535
300,22100296,33742,0,1794
301,22133239,32943,0,573
302,22166580,33341,0,463
303,22199933,33353,0,349
304,22233229,33296,0,271
305,22266551,33322,0,304
306,22299898,33347,0,952
307,22335359,35461,0,165
308,22366576,31217,0,215
309,22399896,33320,0,205
310,22433234,33338,0,309
311,22466592,33358,0,356
312,22499887,33295,0,412
313,22533155,33268,0,869
314,22567543,34388,0,676
315,22599878,32335,0,857
316,22633147,33269,0,749
317,22666534,33387,0,542
318,22699870,33336,0,318
319,22733200,33330,0,149
320,22766545,33345,0,103
321,22799884,33339,0,214
322,22833155,33271,0,658
323,22877487,44332,0,110
324,22899882,22395,0,181
325,22933196,33314,0,331
326,22966560,33364,0,234
327,22999876,33316,0,369
328,23033232,33356,0,239
329,23066550,33318,1,1660
330,23100873,34323,0,1720
331,23133193,32320,0,129
332,23166963,33770,0,179
333,23199878,32915,0,229
334,23233189,33311,0,225
335,23266551,33362,0,297
336,23299876,33325,0,225
337,23333172,33296,0,200
338,23366584,33412,0,341
339,23401076,34492,0,242
340,23433178,32102,0,214
341,23466544,33366,0,261
342,23499906,33362,0,244
343,23533176,33270,0,242
344,23566527,33351,0,951
345,23599861,33334,0,212
346,23634090,34229,0,191
347,23666541,32451,0,126
348,23700961,34420,0,94
349,23733178,32217,0,96
350,23766539,33361,0,111
351,23799862,33323,0,121
352,23833188,33326,0,134
353,23866540,33352,0,137
354,23899867,33327,0,211
355,23935902,36035,0,114
356,23966572,30670,0,129
357,23999896,33324,0,115
358,24033161,33265,0,114
359,24066523,33362,1,1677
360,24099858,33335,0,1713
361,24133162,33304,0,141
362,24166841,33679,0,254
363,24199854,33013,0,333
364,24233158,33304,0,97
365,24266516,33358,0,253
366,24299842,33326,0,1353
367,24333183,33341,0,132
368,24366519,33336,0,188
369,24399850,33331,0,471
370,24433187,33337,0,844
371,24466783,33596,0,712
372,24499862,33079,0,771
373,24533175,33313,0,491
374,24566536,33361,0,438
375,24599844,33308,0,950
376,24633179,33335,0,147
377,24666531,33352,0,382
378,24700852,34321,0,375
