Index,RTT (μs),CWND (B),Bytes In Flight (B)
339,500,40960,1474
340,500,40960,2915
341,500,40960,4006
342,500,40960,4030
343,552,40960,0
344,552,40960,93
345,552,40960,188
346,513,40960,0
347,513,40960,33
348,513,40960,1474
349,513,40960,2915
350,513,40960,4059
351,571,40960,0
352,571,40960,93
353,571,40960,188
354,530,40960,0
355,530,40960,94
356,530,40960,189
357,504,40960,0
358,504,40960,40
359,504,40960,1481
360,504,40960,2922
361,504,40960,4363
362,504,40960,4429
363,504,40960,4453
364,496,40960,0
365,496,40960,95
366,496,40960,190
367,470,40960,0
368,470,40960,95
369,448,40960,0
370,448,40960,95
371,424,40960,0
372,424,40960,33
373,424,40960,1474
374,424,40960,2915
375,424,40960,3630
376,424,40960,3654
377,410,40960,0
378,410,40960,95
379,410,40960,190
380,382,40960,0
381,382,40960,96
382,361,40960,0
383,361,40960,33
384,361,40960,1474
385,361,40960,2915
386,361,40960,4281
387,356,40960,2807
388,358,40960,1366
389,362,40960,0
390,362,40960,96
391,362,40960,192
392,349,40960,96
393,332,40960,0
394,332,40960,95
395,332,40960,190
396,328,40960,0
397,328,40960,33
398,328,40960,1474
399,328,40960,2915
400,328,40960,4356
401,328,40960,4399
402,328,40960,4423
403,326,40960,0
404,326,40960,93
405,326,40960,187
406,336,40960,0
407,336,40960,33
408,336,40960,1474
409,336,40960,2915
410,336,40960,4148
411,353,40960,0
412,353,40960,102
413,353,40960,197
414,329,40960,0
415,329,40960,95
416,329,40960,190
417,364,40960,0
418,364,40960,33
419,364,40960,1474
420,364,40960,2915
421,364,40960,4356
422,364,40960,4592
423,364,40960,4616
424,406,40960,0
425,406,40960,95
426,406,40960,190
427,382,40960,0
428,382,40960,33
429,382,40960,1474
430,382,40960,2915
431,382,40960,4238
432,382,40960,4262
433,401,40960,0
434,401,40960,95
435,384,40960,0
436,384,40960,95
437,359,40960,0
438,359,40960,96
439,340,40960,0
440,340,40960,95
441,340,40960,189
442,321,40960,0
443,321,40960,33
444,321,40960,1474
445,321,40960,2915
446,321,40960,3517
447,350,40960,0
448,350,40960,96
449,350,40960,191
450,326,40960,0
451,326,40960,96
452,326,40960,209
453,318,40960,0
454,318,40960,33
455,318,40960,1474
456,318,40960,2915
457,318,40960,4356
458,318,40960,4663
459,318,40960,4687
460,378,40960,0
461,378,40960,98
462,378,40960,194
463,360,40960,0
464,360,40960,33
465,360,40960,1474
