Chunk Index,audioTimestamp,droppedFrameTimestamp,currentTimestampDiff,Relative Timestamp Difference (μs)
0,9111409442182,12066652,9111397375530,3336
1,9111409442182,12101028,9111397375530,3336
2,9111409562182,12166659,9111397395523,23329
3,9111409562182,12199984,9111397395523,23329
4,9111409652182,12266647,9111397385535,13341
5,9111409652182,12299986,9111397385535,13341
6,9111409742182,12366647,9111397375535,3341
7,9111409742182,12400801,9111397375535,3341
8,9111409862182,12466640,9111397395542,23348
9,9111409862182,12499990,9111397395542,23348
10,9111409952182,12566626,9111397385556,13362
11,9111409952182,12599982,9111397385556,13362
12,9111410042182,12666645,9111397375537,3343
13,9111410042182,12699974,9111397375537,3343
14,9111410162182,12766634,9111397395548,23354
15,9111410162182,12799973,9111397395548,23354
16,9111410252182,12868955,9111397383227,11033
17,9111410252182,12899973,9111397383227,11033
18,9111410342182,12966630,9111397375552,3358
19,9111410342182,12999968,9111397375552,3358
20,9111410462182,13066643,9111397395539,23345
21,9111410462182,13100322,9111397395539,23345
22,9111410552182,13166621,9111397385561,13367
23,9111410552182,13199973,9111397385561,13367
24,9111410642182,13266627,9111397375555,3361
25,9111410642182,13299956,9111397375555,3361
