Chunk Index,Jitter (ms)
0,0
1,2
2,1.699673171197595
3,1.7853571071357126
4,2.3323807579381204
5,3.5433819375782165
6,3.3319725113401715
7,3.122498999199199
8,2.9481109247603556
9,3.1128764832546763
10,3.5698461665585204
11,3.451046540141443
12,3.342393997292374
13,3.3419107329398816
14,3.36386021641143
15,3.2590019561209225
16,3.2709267704606693
17,3.1822229981377084
18,3.1003529421101343
19,3.037680035816807
20,3.0646843637531593
21,3.0109991203053075
22,2.9462737993212893
23,2.89845504823978
24,2.852647892748069
25,2.8158469565727877
26,2.775554665954843
27,2.921376178363581
28,2.9421695183036616
29,2.9297326385411577
30,2.883445158720846
31,2.839282204624965
32,2.8082261425946906
33,2.7784389832045977
34,2.7988335762876466
35,2.768874620972691
36,2.7951748051563015
37,2.769541498299551
38,2.743709558850346
39,2.710050737532417
40,2.7061082777132017
41,2.8015423351758058
42,2.855829103815582
43,2.824040830365285
44,2.8686470334408747
45,2.863382667834928
46,2.84008683931785
47,2.8198207192814384
48,2.8599111952963256
49,2.8315366852647337
50,2.877747421012916
51,2.8505034331649575
52,2.8454932107937894
53,2.8383518856216186
54,2.813544571861487
55,2.849039849006063
56,2.8252696071949472
57,2.8219561274505387
58,2.8037402687121644
59,2.780687365063219
60,2.7589730473982197
61,2.7744279720909155
62,2.769102098123359
63,2.752839443193155
64,2.7629844082507398
65,2.7614026060350345
66,2.775958910462727
67,2.8965362323521373
68,2.882564612278682
69,2.8687265182890282
70,2.855023727402445
71,2.836055337355603
72,2.816926027818275
73,2.804045913371446
74,2.8307517650891882
75,2.8183706811558507
76,2.8128203233940186
77,2.893490620071511
78,2.9173302134703882
79,2.903015673398956
80,2.888888888888888
81,2.877040956241419
82,2.8605261680159306
83,2.848996322453134
84,2.855553685576768
85,2.83913868824266
86,2.8865911571245206
87,2.892709559399513
88,2.880001262466585
89,2.8745155254708292
90,2.8999748071977036
91,2.8890969016930543
92,2.8947307014989305
93,2.884234632623592
94,2.872430804347039
95,2.8812582851170347
96,2.900555357820548
97,2.8864567644538206
98,2.883975478352547
99,2.889204042638732
100,2.9287858391354673
101,3.0297924756018153
102,3.0264489039523714
103,3.0147412726183327
104,3.0005290538794314
105,3.020223752140551
106,3.0062967080669574
107,3.000971493363116
108,2.9955779209047613
109,3.0146885589456853
110,3.003879751893226
111,2.9986710491857034
112,2.9934012581826743
113,3.044668480432677
114,3.072236797741813
115,3.059118258327133
116,3.0466459069034055
117,3.0375534274273637
118,3.054434009921648
119,3.0572205059861512
120,3.0597045980464967
121,3.0650477325475625
122,3.052734563278366
123,3.0439462447446237
124,3.0566491457149607
125,3.053658450444775
126,3.0417762088630074
127,3.0304041990095976
128,3.020989013040273
129,3.0128030550503486
130,3.003620370504397
131,2.995635024682068
132,3.000838445406725
133,3.0756048292516702
134,3.080323856630727
135,3.0711625420777713
136,3.062076420312877
137,3.0593186809893558
138,3.0487813209687293
139,3.0410121838034145
140,3.043387939516559
141,3.0407534121055426
142,3.0302564098977895
143,3.020178728563781
144,3.031377721729096
145,3.0271260648381646
146,3.052701665562677
147,3.0548013914608267
148,3.1450813053526128
149,3.293063416739292
150,3.304018575659118
151,3.2949428218780956
152,3.2842730787976757
153,3.2805577832439137
154,3.270363245026839
155,3.2653068457411756
156,3.260238229410178
157,3.3218202337149076
158,3.329462568050492
159,3.324242159876443
160,3.319014291888197
161,3.321222856419415
162,3.3114061691549854
163,3.3014111957468635
164,3.3035362414852147
165,3.3109301824785144
166,3.307330420177133
167,3.325836595348143
168,3.4292889070737362
169,3.419570178781604
170,3.409652620744822
171,3.418189343544037
172,3.4324359414802283
173,3.4407196904679145
174,3.436657132286833
175,3.4841685560344984
176,3.4765829490871103
177,3.4925796500643935
178,3.48429622947373
179,3.483554839669909
180,3.491057005361282
181,3.496371055005589
182,3.5116762616054547
183,3.5168377056689892
184,3.508711895735441
185,3.5158166314147334
186,3.507817588967174
187,3.5026787588934867
188,3.5034446569912667
189,3.4984009010211983
190,3.4976094856703566
191,3.488572614822412
192,3.4815799907792067
193,3.477807968002554
194,3.4689720751805764
195,3.460417575368378
196,3.474840830482199
197,3.558785980834178
198,3.572415495277278
199,3.583448060178911
200,3.579455914098432
201,3.592589640287031
202,3.6432959364289785
203,3.6736721375540133
204,3.7004300600588675
205,3.6932688375450526
206,3.6854996159376134
207,3.705477190001484
208,3.700189050093658
209,3.699914198919358
210,3.709492932748129
211,3.7024786517422807
212,3.6982195432262523
213,3.701539292614844
214,3.701302885511733
215,3.704557193326654
216,3.697725257290585
217,3.6926377570668105
218,3.6852964460868143
219,3.678629371054766
220,3.670567485014577
221,3.6666223960848674
222,3.659506053594545
223,3.6868162415184855
224,3.6901309823184683
225,3.69910445863752
226,3.6912093795940657
227,3.684740458963568
228,3.6777581898627516
229,3.6713780809435184
230,3.6675584251152924
231,3.6912661645756164
232,3.683598753545064
233,3.679842046875849
234,3.6735901820580086
235,3.6660428268936283
236,3.659349445297343
237,3.659294812986855
238,3.6746455482282507
239,3.6745748053346254
240,3.673260975965594
241,3.6659111345499893
242,3.6584246413459702
243,3.6630518429425654
244,3.662941830979964
245,3.694093249886788
246,3.693936532547966
247,3.689494094769387
248,3.683057187091067
249,3.6766528256010242
250,3.6765893500715503
251,3.6695172043438586
252,3.6682823239884783
253,3.672686071153639
254,3.686929437023046
255,3.6912367685961214
256,3.6869464964169
257,3.6798544327344005
258,3.6764542830649574
259,3.6752228930514503
260,3.691216453110743
261,3.712014065672641
262,3.7213361129512847
263,3.723897137999186
264,3.717768329629294
265,3.712177112958329
266,3.705276590457375
267,3.720602077262665
268,3.723155506830375
269,3.7164668975082162
270,3.710504123679188
271,3.7045690950407164
272,3.7012726214236555
273,3.694571893157124
274,3.6891908226086425
275,3.691776527045735
276,3.7067111138408344
277,3.733743640282117
278,3.7424126640635187
279,3.7410692976468507
280,3.735715862374248
281,3.7299435989766248
282,3.7235534579190874
283,3.720323291832955
284,3.714651184925638
285,3.709434280955501
286,3.7038245580591243
287,3.699968457906928
288,3.6936156300374066
289,3.688527059250779
290,3.682383536875725
291,3.6761285977835825
292,3.679874180374844
293,3.6868504713725474
294,3.680650430259991
295,3.675253354116785
296,3.6692613402896366
297,3.666328145949361
298,3.662703651410154
299,3.6567912467383485
300,3.651956237717464
301,3.650977220573455
302,3.659385938539195
303,3.661868345311361
304,3.6566653237582187
305,3.6519180152779183
306,3.6460178392745908
307,3.6413159112040856
308,3.6354725836345314
309,3.6345606636128402
310,3.628907624085025
311,3.6238761889003106
312,3.6181315185003613
313,3.6124140789938117
314,3.606871748416322
315,3.6205740319875224
316,3.632379448455589
317,3.626711986398303
318,3.630408051345548
319,3.6328457659767235
320,3.6279448816920685
321,3.622498751282049
322,3.618073276775695
323,3.613247231446467
324,3.6213097110946806
325,3.616522788647745
326,3.611039423723195
327,3.606293659143498
328,3.603781546302147
329,3.6062503133190944
330,3.603764882684528
331,3.6006261451249646
332,3.5952631208159
333,3.595453122797512
334,3.5912147451742267
335,3.586989907797267
336,3.598316537548209
337,3.5984894651988797
338,3.5939228733443005
339,3.5886824697250814
340,3.5879762399826336
341,3.5856168506194273
342,3.5805618920796323
343,3.5754017727618357
344,3.5703909675854355
345,3.5659586852883756
346,3.5630273620558675
347,3.5757508101823903
348,3.5751206744272688
349,3.571103985250134
350,3.5735377876874166
351,3.569556770411429
352,3.56666786543178
353,3.5637807245176347
354,3.5714333097143154
355,3.5665828896011105
356,3.561752146473668
357,3.564167001457943
358,3.5644366568752726
359,3.561622428190226
360,3.558809755945676
361,3.559100413172612
362,3.5614752949997635
363,3.559323314031749
364,3.558723776632735
365,3.5622139394954973
366,3.558044782796844
367,3.5583178201061108
368,3.5606744829017467
369,3.5560265824069037
370,3.5513968047246753
371,3.5466638044110224
372,3.546962484432745
373,3.5573557522342236
374,3.55764316491816
375,3.5529525973967226
376,3.552394633256856
377,3.547733467215676
378,3.5432163503500202
379,3.5385921422269715
380,3.533985990084562
381,3.5319918489255624
382,3.5314877163212093
383,3.5295125011952786
384,3.52558152368013
385,3.525943853950269
386,3.5233920221854422
387,3.5190097228154777
388,3.5261602742028573
389,3.5320231279998504
390,3.5390745816156515
391,3.559583125637258
392,3.55985191123859
393,3.556311268931839
394,3.5524499513639887
395,3.552709023257939
396,3.558355116575422
397,3.556380672650329
398,3.5519629575070475
399,3.548484711817143
400,3.5540788078504764
401,3.5651522251310266
402,3.5706635600352357
403,3.567198399463532
404,3.57808363763466
405,3.5875439030454985
406,3.586952633568996
407,3.584978398437372
408,3.581530726156889
409,3.5908246150186605
410,3.5888663445261573
411,3.5869048322758053
412,3.5827055515184627
413,3.579299395550893
414,3.59309025434173
415,3.58970057423289
416,3.585987562605991
417,3.582623550141159
418,3.578383108769636
419,3.5741576874283485
420,3.570832126239842
421,3.567191411042477
422,3.5674174023562357
423,3.572620459205291
424,3.572841812327679
425,3.5704402835597655
426,3.5671668049460963
427,3.564783568972338
428,3.5629505975176277
429,3.55894807654928
430,3.554854503578158
431,3.5513205090053126
432,3.549522101300303
433,3.54601407873522
434,3.5420774399822252
435,3.5381538606103184
436,3.538423447008758
437,3.5379966653571504
438,3.5348480902897
439,3.5314108516718656
440,3.5279832399157396
441,3.5300179314710345
442,3.5303297067134727
443,3.536549569641889
444,3.541650030532431
445,3.5378153520302096
446,3.5398017370330654
447,3.5380914796763925
448,3.534711311638721
449,3.531652989678644
450,3.528296593142316
451,3.5244265552938416
452,3.5214023970212107
453,3.518081091195305
454,3.5142479157332014
455,3.510530672161212
456,3.50724295932566
457,3.5056235758119856
458,3.505260437745166
459,3.5023108763329596
460,3.4986470990860914
461,3.4957138833764927
462,3.492490693149711
463,3.490910329293785
464,3.487709288742986
465,3.4840990507392107
466,3.480402489818433
467,3.4801021696368464
468,3.4765260632793122
469,3.4749963768215046
470,3.4729766220826175
471,3.473384975602168
472,3.4754414711329353
473,3.4726148543342927
474,3.4706117193329478
475,3.4675010940588935
476,3.4660168830124887
477,3.47204962330385
478,3.4805020045589186
479,3.483377566505436
480,3.4882569698471495
481,3.4854623591860485
482,3.4823819616728
483,3.478815526691828
484,3.475752976300022
485,3.4761558270269823
486,3.476540674384957
487,3.4813776620701034
488,3.4779462815639053
489,3.47452500806275
490,3.471113792150833
491,3.468108078857823
