Time (s),RTT EMA Variance,CWND EMA Variance
0,7.1551811167461565,0
1.197332831,4.884099957364168e-07,1.8659560000044655e-13
2.200709989,1.7808399821255546e-06,1.8659560001467078e-281
3.202975795,1.1289599979286657e-05,0
4.206846499,2.0160100547503354e-05,0
5.208407900,67.46856838261003,0
6.211521339,230.0007598217719,0
7.215430666,326.1812568137544,0
8.220770982,209.49685110362674,0
9.221724613,1.6239274476754997,0
10.223024829,2701.811315150518,0
11.224301561,8.114406447102022,0
12.228853565,290.75254239172705,0
13.231986161,27.61529289702006,0
14.234747954,9.059254739912286e-05,0
15.237556161,0.042662199166482194,0
16.239721517,0.00016918134570182098,0
17.243032751,140.758297863389,0
18.246059039,124.75325481954772,0
19.248863537,286.54966264707673,0
20.251842890,88.52902912238993,0
21.255679951,113.10156040586,0
22.257351692,2.447736483997084,0
23.261916887,60.779181654930845,0
24.262828071,31.105263444120652,0
25.265026556,0.03971306795544395,0
26.268393678,0.5242402249079124,0
27.271431881,0.32148863879085393,0
28.274264582,0.01416103783050926,0
29.278343314,6969.00513222179,0
30.280262034,452.4250100922209,0
31.283697225,196.9441821105199,0
32.285967380,65.38865645870277,0
33.293291584,13.750339272441611,0
34.293613271,74.05797824584053,0
35.296960247,32.68580157520601,0
36.298107006,352.7110630592715,0
37.306572156,3027.6007325642963,0
38.315984980,660.8165071787838,0
39.328262727,320.44731877996423,0
40.331162830,1.1025000066438334e-06,0
41.335202122,0.20249269749262447,0
42.337962693,143.70939057714236,2.0764809999976913e-46
43.340983371,1.0100249992307805e-05,2.0764809999999376e-85
44.344289144,0.0002872959978058762,0
45.346895736,0.0004121640765432904,0
46.350168000,8696.600580553519,0
47.352397563,52.943752654889565,0
48.356307434,19.140748888774112,0
49.359463263,410.59147766446466,0
50.362549550,530.4669113558411,0
51.363548492,512.0570705113652,0
52.368452320,207.44044338115376,0
53.371753004,128.0141974249801,0
54.375798958,0.08236998874809474,0
55.379606932,0.32626757789281197,0
56.382088719,7.322085909946368,0
57.384820597,0.6399882957915074,0
58.387826132,0.004546639341154959,0
59.392443961,119.43288425352125,0
60.394424818,929.5410930022658,0
61.397360615,657.5656947592265,0
62.400354088,164.83518463804555,0
63.402419514,1909.6737427704677,0
64.403538187,22.445132363109607,0
65.408821528,212.3636558764474,0
66.412800227,11.512027841649758,0
67.415118238,0.04998078178156762,0
68.418645088,0.00017292858372305766,0
69.422160292,0.00036556693208804813,0
70.425750202,0.1713949829448607,0
71.427471491,13.55297547494077,0
72.430478393,9.480948080059738,0
73.434221815,67.53124403583392,0
74.438132439,280.0085892315461,0
75.443078437,26.393191021493454,0
76.444430717,0.0423800575782052,0
77.447884606,17.87500855929453,0
78.449974684,261.20730272194345,0
79.454787588,6.888999967711587e-06,0
80.458208878,8.236899669923719e-05,0
81.459981160,80.54264185021896,0
82.463762890,0.002357772203200504,0
83.466396325,3.9876811674343973,0
84.471207676,312.7951169046987,0
85.473294137,26.89324581488036,0
86.477516145,290.82776347042943,0
87.481288275,22.275479915039625,0
88.485560426,871.0462591016872,0
89.486674715,3.136409624791501,0
90.490931528,35.00921250975955,0
91.493854271,15.078295925556732,0
92.497308081,0.39067038638998636,0
93.499162923,0.4729370831640783,0
94.503668230,0.00010265025486965576,0
95.506329740,2.1252101448433288e-05,0
96.510686667,324.01658054906676,0
97.512703555,297.3009571787832,0
98.517958880,583.9257979731237,0
99.519937197,1.7464144005859006,0
100.532133354,0.0006200099318119794,0
101.534644289,4665.599580175972,0
102.554648268,574.8698814536561,0
103.559011630,259.52161576856673,0
104.563190049,313.7994585168816,0
105.566094056,32.68576481571462,0
106.568489536,53.682550584707045,0
107.572157808,268.69103353024,0
108.575139048,0.009871645828667256,0
109.578817195,0.48854789476215643,0
110.582762022,15.717232720008528,0
111.586251168,0.07683334495118647,0
112.590123255,0.016128839593388348,0
113.593299482,253.56868978687294,0
114.597309019,15.912112063324736,0
115.600412800,7.83934696544701,0
116.605401322,2.535747250286124,0
117.610960845,11.025893080911562,0
118.623168036,115.43006221880687,0
119.626299845,7321.807882359407,0
120.637064071,565.7982125273528,0
121.644488064,0.38439668581749425,0
122.666893474,0.062414608361102776,0
123.670354632,406.92197054943045,0
124.673813434,174.74780583809402,0
125.676981114,25.354640017522193,0
126.679493002,230.00091155267984,0
127.684182614,281.9577490151827,0
128.686273054,308.04518774793036,0
129.688712799,96.72869920650294,0
130.693073703,0.514078735970443,0
131.696138977,0.167310000398798,0
132.699799552,0.0014745685386268477,0
133.703271368,8.820905287112186e-06,0
134.707571168,9.215999079434077e-05,0
135.712305864,266.6682662175919,0
136.714731245,86.15503557592817,0
137.718586168,0.5009474976358861,0
138.723313042,646.3290238203658,0
139.724710747,0.0039913202048223895,0
140.728257372,0.0017940596595749196,0
141.734018774,437.6268156211509,0
142.737853497,8.409999910023345e-07,0
143.740364560,0.027606258675899113,0
144.743946172,1.0201003204179084e-05,0
145.748255332,0.00034596009402289925,0
