Method 2: time: 1.00358991, rttEMAVariance: 0.00036556693208804813, cwndEMAVariance: 0
Method 2: time: 1.001721289, rttEMAVariance: 0.1713949829448607, cwndEMAVariance: 0
Method 2: time: 1.003006902, rttEMAVariance: 13.55297547494077, cwndEMAVariance: 0
Method 2: time: 1.003743422, rttEMAVariance: 9.480948080059738, cwndEMAVariance: 0
Method 2: time: 1.003910624, rttEMAVariance: 67.53124403583392, cwndEMAVariance: 0
Method 2: time: 1.004945998, rttEMAVariance: 280.0085892315461, cwndEMAVariance: 0
Method 2: time: 1.00135228, rttEMAVariance: 26.393191021493454, cwndEMAVariance: 0
Method 2: time: 1.003453889, rttEMAVariance: 0.0423800575782052, cwndEMAVariance: 0
Method 2: time: 1.002090078, rttEMAVariance: 17.87500855929453, cwndEMAVariance: 0
Method 2: time: 1.004812904, rttEMAVariance: 261.20730272194345, cwndEMAVariance: 0
Method 2: time: 1.00342129, rttEMAVariance: 6.888999967711587e-06, cwndEMAVariance: 0
Method 2: time: 1.001772282, rttEMAVariance: 8.236899669923719e-05, cwndEMAVariance: 0
Method 2: time: 1.00378173, rttEMAVariance: 80.54264185021896, cwndEMAVariance: 0
Method 2: time: 1.002633435, rttEMAVariance: 0.002357772203200504, cwndEMAVariance: 0
Method 2: time: 1.004811351, rttEMAVariance: 3.9876811674343973, cwndEMAVariance: 0
Method 2: time: 1.002086461, rttEMAVariance: 312.7951169046987, cwndEMAVariance: 0
Method 2: time: 1.004222008, rttEMAVariance: 26.89324581488036, cwndEMAVariance: 0
Method 2: time: 1.00377213, rttEMAVariance: 290.82776347042943, cwndEMAVariance: 0
Method 2: time: 1.004272151, rttEMAVariance: 22.275479915039625, cwndEMAVariance: 0
Method 2: time: 1.001114289, rttEMAVariance: 871.0462591016872, cwndEMAVariance: 0
Method 2: time: 1.004256813, rttEMAVariance: 3.136409624791501, cwndEMAVariance: 0
Method 2: time: 1.002922743, rttEMAVariance: 35.00921250975955, cwndEMAVariance: 0
Method 2: time: 1.00345381, rttEMAVariance: 15.078295925556732, cwndEMAVariance: 0
