Index,RTT (μs),CWND (B),Bytes In Flight (B)
328,606,40960,4355
329,606,40960,4952
330,606,40960,4976
331,611,40960,0
332,611,40960,95
333,611,40960,188
334,612,40960,0
335,612,40960,95
336,794,40960,0
337,794,40960,95
338,794,40960,188
339,752,40960,0
340,752,40960,32
341,752,40960,1473
342,752,40960,2914
343,752,40960,4355
344,752,40960,4670
345,752,40960,4694
346,718,40960,0
347,718,40960,94
348,718,40960,189
349,710,40960,0
350,710,40960,32
351,710,40960,1473
352,710,40960,2914
353,710,40960,4355
354,710,40960,4960
355,710,40960,4984
356,698,40960,0
357,698,40960,93
358,698,40960,186
359,707,40960,0
360,707,40960,94
361,893,40960,0
362,893,40960,91
363,1013,40960,0
364,1013,40960,32
365,1013,40960,1473
366,1013,40960,2914
367,1013,40960,4355
368,1013,40960,4826
369,978,40960,0
370,978,40960,93
371,978,40960,185
372,931,40960,0
373,931,40960,32
374,931,40960,1473
375,931,40960,2914
376,931,40960,4355
377,931,40960,4715
378,931,40960,4739
379,939,40960,0
380,939,40960,98
381,939,40960,189
382,879,40960,0
383,879,40960,93
384,879,40960,185
385,819,40960,0
386,819,40960,32
387,819,40960,1473
388,819,40960,2914
389,819,40960,4355
390,819,40960,4458
391,819,40960,4482
392,843,40960,0
393,843,40960,91
394,843,40960,183
395,829,40960,0
396,829,40960,94
397,981,40960,0
398,981,40960,32
399,981,40960,1473
400,981,40960,2914
401,981,40960,4329
402,952,40960,0
403,952,40960,94
404,952,40960,189
405,914,40960,0
406,914,40960,95
407,914,40960,190
408,878,40960,0
409,878,40960,32
410,878,40960,1473
411,878,40960,2914
412,878,40960,3500
413,854,40960,0
414,854,40960,95
415,854,40960,190
416,843,40960,0
417,843,40960,95
418,843,40960,190
419,776,40960,0
420,776,40960,32
421,776,40960,1473
422,776,40960,2914
423,776,40960,4355
424,776,40960,4510
425,778,40960,0
426,778,40960,95
427,778,40960,190
428,753,40960,0
429,753,40960,39
430,753,40960,1480
431,753,40960,2921
432,753,40960,4362
433,753,40960,4448
434,767,40960,0
435,767,40960,95
436,767,40960,190
437,744,40960,0
438,744,40960,95
439,744,40960,190
440,734,40960,0
441,734,40960,95
442,685,40960,0
443,685,40960,32
444,685,40960,1473
445,685,40960,2914
446,685,40960,4265
447,685,40960,4289
448,702,40960,0
449,702,40960,96
450,702,40960,191
451,667,40960,0
452,667,40960,32
453,667,40960,1473
454,667,40960,2914
455,667,40960,3909
456,685,40960,0
457,685,40960,111
458,760,40960,0
459,760,40960,94
460,923,40960,0
461,923,40960,96
462,923,40960,193
463,886,40960,0
464,886,40960,32
465,886,40960,1473
466,886,40960,2914
467,886,40960,4260
468,886,40960,0
469,886,40960,95
470,886,40960,192
471,845,40960,0
472,845,40960,33
473,845,40960,1474
474,845,40960,2915
475,845,40960,4356
476,845,40960,4431
477,845,40960,4455
478,839,40960,0
479,839,40960,96
480,839,40960,195
481,771,40960,0
482,771,40960,99
483,771,40960,196
484,731,40960,0
485,731,40960,33
486,731,40960,1474
487,731,40960,2915
488,731,40960,3650
489,763,40960,0
490,763,40960,96
491,763,40960,198
492,741,40960,0
493,741,40960,33
494,741,40960,1474
495,741,40960,2915
496,741,40960,4265
497,741,40960,4289
498,741,40960,4384
499,741,40960,0
500,741,40960,95
501,685,40960,0
502,685,40960,95
503,685,40960,119
504,690,40960,0
505,690,40960,102
506,690,40960,197
507,669,40960,0
508,669,40960,33
509,669,40960,1474
510,669,40960,2915
511,669,40960,4356
512,669,40960,4580
513,669,40960,4604
514,682,40960,0
515,682,40960,95
516,682,40960,192
517,661,40960,0
518,661,40960,94
519,661,40960,187
520,621,40960,0
521,621,40960,33
522,621,40960,1474
523,621,40960,2915
524,621,40960,4356
525,621,40960,4509
526,621,40960,4533
527,585,40960,0
528,585,40960,94
529,585,40960,191
530,560,40960,0
531,560,40960,33
532,560,40960,1474
533,560,40960,2915
534,560,40960,4146
535,543,40960,0
536,543,40960,96
537,543,40960,190
538,544,40960,0
539,544,40960,95
540,703,40960,0
541,703,40960,94
542,862,40960,0
543,862,40960,33
544,862,40960,1474
545,862,40960,2915
546,862,40960,4002
547,810,40960,0
548,810,40960,96
549,810,40960,194
550,787,40960,0
551,787,40960,98
552,883,40960,0
553,883,40960,33
554,883,40960,1474
555,883,40960,2915
556,883,40960,4356
557,883,40960,4403
558,863,40960,0
559,863,40960,103
560,863,40960,199
561,828,40960,0
562,828,40960,103
563,828,40960,199
564,771,40960,0
565,771,40960,33
566,771,40960,1474
567,771,40960,2915
568,771,40960,4241
569,719,40960,0
570,719,40960,96
571,719,40960,192
572,685,40960,0
573,685,40960,33
574,685,40960,1474
575,685,40960,2915
576,685,40960,3872
577,685,40960,3896
578,728,40960,0
579,728,40960,96
580,802,40960,0
581,802,40960,96
582,930,40960,0
583,930,40960,96
584,930,40960,192
585,851,40960,0
586,851,40960,33
587,851,40960,1474
588,851,40960,2915
589,851,40960,4356
590,851,40960,4448
