Method 3: time: 1.004855417, rttCustomWeightedVariance: 131440.07271853613, cwndCustomWeightedVariance: 0
Method 3: time: 1.005584295, rttCustomWeightedVariance: 15080.025916330143, cwndCustomWeightedVariance: 0
Method 3: time: 1.012256877, rttCustomWeightedVariance: 103365.76356329225, cwndCustomWeightedVariance: 0
Method 3: time: 1.004606596, rttCustomWeightedVariance: 14822.750263852457, cwndCustomWeightedVariance: 0
Method 3: time: 1.00449305, rttCustomWeightedVariance: 86723.36471359033, cwndCustomWeightedVariance: 0
Method 3: time: 1.005264185, rttCustomWeightedVariance: 123067.0420795737, cwndCustomWeightedVariance: 0
Method 3: time: 1.005018427, rttCustomWeightedVariance: 116735.86763543279, cwndCustomWeightedVariance: 0
Method 3: time: 1.005041217, rttCustomWeightedVariance: 184136.72848398553, cwndCustomWeightedVariance: 0
Method 3: time: 1.008333757, rttCustomWeightedVariance: 231530.0654800919, cwndCustomWeightedVariance: 0
Method 3: time: 1.00534068, rttCustomWeightedVariance: 6571.053515237287, cwndCustomWeightedVariance: 0
Method 3: time: 1.008187767, rttCustomWeightedVariance: 121773.32511300023, cwndCustomWeightedVariance: 0
Method 3: time: 1.006054221, rttCustomWeightedVariance: 49689.76808567531, cwndCustomWeightedVariance: 0
Method 3: time: 1.012096682, rttCustomWeightedVariance: 9162.743586288367, cwndCustomWeightedVariance: 0
Method 3: time: 1.011276, rttCustomWeightedVariance: 84413.55058805297, cwndCustomWeightedVariance: 0
Method 3: time: 1.00557064, rttCustomWeightedVariance: 132019.68143597356, cwndCustomWeightedVariance: 0
Method 3: time: 1.004586843, rttCustomWeightedVariance: 12053.896685046653, cwndCustomWeightedVariance: 0
Method 3: time: 1.005795829, rttCustomWeightedVariance: 265396.5044024565, cwndCustomWeightedVariance: 0
Method 3: time: 1.006494479, rttCustomWeightedVariance: 125730.40841135963, cwndCustomWeightedVariance: 0
Method 3: time: 1.005082267, rttCustomWeightedVariance: 349996.395323321, cwndCustomWeightedVariance: 0
Method 3: time: 1.007336394, rttCustomWeightedVariance: 85656.65261365904, cwndCustomWeightedVariance: 0
Method 3: time: 1.005984655, rttCustomWeightedVariance: 387035.27548417664, cwndCustomWeightedVariance: 0
Method 3: time: 1.007342829, rttCustomWeightedVariance: 35966.91518771279, cwndCustomWeightedVariance: 0
Method 3: time: 1.014467778, rttCustomWeightedVariance: 273403.36728807754, cwndCustomWeightedVariance: 0
Method 3: time: 1.004433597, rttCustomWeightedVariance: 34960.03334863433, cwndCustomWeightedVariance: 0
Method 3: time: 1.008855175, rttCustomWeightedVariance: 28179.507651381697, cwndCustomWeightedVariance: 0
Method 3: time: 1.005577087, rttCustomWeightedVariance: 76710.2945780683, cwndCustomWeightedVariance: 0
Method 3: time: 1.010061732, rttCustomWeightedVariance: 243946.65882661182, cwndCustomWeightedVariance: 0
Method 3: time: 1.011537135, rttCustomWeightedVariance: 73102.17773870325, cwndCustomWeightedVariance: 0
Method 3: time: 1.004368649, rttCustomWeightedVariance: 79564.83519201471, cwndCustomWeightedVariance: 0
Method 3: time: 1.00609705, rttCustomWeightedVariance: 68400.9548107961, cwndCustomWeightedVariance: 0
Method 3: time: 1.00744224, rttCustomWeightedVariance: 81040.57259126627, cwndCustomWeightedVariance: 0
Method 3: time: 1.010431935, rttCustomWeightedVariance: 115978.10481049976, cwndCustomWeightedVariance: 0
Method 3: time: 1.022873576, rttCustomWeightedVariance: 1.2064859266016253e+06, cwndCustomWeightedVariance: 0
Method 3: time: 1.009354657, rttCustomWeightedVariance: 42346.00466993931, cwndCustomWeightedVariance: 0
Method 3: time: 1.009255902, rttCustomWeightedVariance: 14325.031310416116, cwndCustomWeightedVariance: 0
Method 3: time: 1.00959432, rttCustomWeightedVariance: 259577.63700375165, cwndCustomWeightedVariance: 0
Method 3: time: 1.006298415, rttCustomWeightedVariance: 187202.84839088455, cwndCustomWeightedVariance: 0
