Index,RTT (μs),CWND (B),Bytes In Flight (B)
293,332,40960,32
294,332,40960,1473
295,332,40960,2914
296,332,40960,4355
297,332,40960,4952
298,332,40960,4976
299,388,40960,0
300,388,40960,95
301,368,40960,0
302,368,40960,99
303,368,40960,194
304,353,40960,0
305,353,40960,32
306,353,40960,1473
307,353,40960,2914
308,353,40960,4355
309,353,40960,4670
310,361,40960,0
311,361,40960,95
312,361,40960,188
313,341,40960,0
314,341,40960,94
315,341,40960,189
316,329,40960,0
317,329,40960,32
318,329,40960,1473
319,329,40960,2914
320,329,40960,4355
321,329,40960,4960
322,329,40960,4984
323,419,40960,0
324,419,40960,93
325,419,40960,186
326,385,40960,0
327,385,40960,32
328,385,40960,1473
329,385,40960,2914
330,385,40960,4355
331,385,40960,4826
332,385,40960,4850
333,440,40960,0
334,440,40960,94
335,440,40960,185
336,412,40960,0
337,412,40960,93
338,412,40960,185
339,389,40960,0
340,389,40960,32
341,389,40960,1473
342,389,40960,2914
343,389,40960,4355
344,389,40960,4715
345,389,40960,4739
346,390,40960,0
347,390,40960,92
348,390,40960,183
349,365,40960,91
350,351,40960,0
351,351,40960,32
352,351,40960,1473
353,351,40960,2914
354,351,40960,4355
355,351,40960,4458
356,351,40960,4482
357,359,40960,0
358,359,40960,93
359,359,40960,185
360,333,40960,0
361,333,40960,91
362,333,40960,183
363,309,40960,0
364,309,40960,94
365,294,40960,0
366,294,40960,32
367,294,40960,1473
368,294,40960,2914
369,294,40960,4329
370,309,40960,0
371,309,40960,94
372,309,40960,189
373,290,40960,0
374,290,40960,95
375,287,40960,0
376,287,40960,95
377,369,40960,0
378,369,40960,39
379,369,40960,1480
380,369,40960,2921
381,369,40960,3507
382,426,40960,0
383,426,40960,95
384,426,40960,190
385,399,40960,95
386,374,40960,0
387,374,40960,32
388,374,40960,1473
389,374,40960,2914
390,374,40960,4355
391,374,40960,4510
392,374,40960,4534
393,429,40960,0
394,429,40960,95
395,429,40960,190
396,392,40960,0
397,392,40960,95
398,392,40960,190
399,384,40960,0
400,384,40960,32
401,384,40960,1473
402,384,40960,2914
403,384,40960,4355
404,384,40960,4441
405,428,40960,0
406,428,40960,95
407,428,40960,190
408,398,40960,0
409,398,40960,32
410,398,40960,1473
411,398,40960,2914
412,398,40960,4265
413,398,40960,4289
414,383,40960,0
415,383,40960,95
416,383,40960,190
417,363,40960,0
418,363,40960,95
419,456,40960,0
420,456,40960,96
421,456,40960,191
422,432,40960,0
423,432,40960,32
424,432,40960,1473
425,432,40960,2914
426,432,40960,3909
427,432,40960,3933
428,469,40960,0
429,469,40960,111
430,469,40960,205
431,433,40960,0
432,433,40960,33
433,433,40960,1474
434,433,40960,2915
435,433,40960,4261
436,433,40960,4357
