Method 2: time: 1.002606906, rttEMAVariance: 1.0304099999029425e-07, cwndEMAVariance: 0
Method 2: time: 1.003536386, rttEMAVariance: 1.2960000221869959e-08, cwndEMAVariance: 0
Method 2: time: 1.003285586, rttEMAVariance: 24.09264078822168, cwndEMAVariance: 0
Method 2: time: 1.003711299, rttEMAVariance: 1.4288400507122814e-05, cwndEMAVariance: 0
Method 2: time: 1.002863582, rttEMAVariance: 0.4000488746415324, cwndEMAVariance: 0
Method 2: time: 1.002106522, rttEMAVariance: 33.489010651651796, cwndEMAVariance: 0
Method 2: time: 1.005073966, rttEMAVariance: 0.4972420396890111, cwndEMAVariance: 0
Method 2: time: 1.003934239, rttEMAVariance: 137.7275064573186, cwndEMAVariance: 0
Method 2: time: 1.000853555, rttEMAVariance: 0.7727627163042882, cwndEMAVariance: 0
Method 2: time: 1.003978003, rttEMAVariance: 0.0012320987730473972, cwndEMAVariance: 0
Method 2: time: 1.003705158, rttEMAVariance: 3.382225909107262, cwndEMAVariance: 0
Method 2: time: 1.002513999, rttEMAVariance: 0.015208506038170828, cwndEMAVariance: 0
Method 2: time: 1.003071296, rttEMAVariance: 0.015687139508458594, cwndEMAVariance: 0
Method 2: time: 1.004776057, rttEMAVariance: 0.014646897054079297, cwndEMAVariance: 0
Method 2: time: 1.002286671, rttEMAVariance: 2.5016849907124448e-05, cwndEMAVariance: 0
Method 2: time: 1.003094786, rttEMAVariance: 0.010608897092819555, cwndEMAVariance: 0
Method 2: time: 1.003222966, rttEMAVariance: 0.09548007907649028, cwndEMAVariance: 0
Method 2: time: 1.005092499, rttEMAVariance: 154.1634604001636, cwndEMAVariance: 0
Method 2: time: 1.002820852, rttEMAVariance: 34.2500232167657, cwndEMAVariance: 0
Method 2: time: 1.004436754, rttEMAVariance: 6.8225032656825855, cwndEMAVariance: 0
Method 2: time: 1.006341196, rttEMAVariance: 15.973954082910085, cwndEMAVariance: 0
Method 2: time: 1.021137199, rttEMAVariance: 0.03960075713777913, cwndEMAVariance: 0
Method 2: time: 1.003038944, rttEMAVariance: 0.02507057611297843, cwndEMAVariance: 0
Method 2: time: 1.00356784, rttEMAVariance: 57.5212874183417, cwndEMAVariance: 0
Method 2: time: 1.007125691, rttEMAVariance: 216.03452368608473, cwndEMAVariance: 0
Method 2: time: 1.001688988, rttEMAVariance: 0.7452182663623035, cwndEMAVariance: 0
Method 2: time: 1.00077844, rttEMAVariance: 5.7759996708942384e-05, cwndEMAVariance: 0
Method 2: time: 1.003248921, rttEMAVariance: 0.00515289484661859, cwndEMAVariance: 0
Method 2: time: 1.003349526, rttEMAVariance: 0.0001512899849184338, cwndEMAVariance: 0
Method 2: time: 1.00358341, rttEMAVariance: 2.5680504218552658, cwndEMAVariance: 0
Method 2: time: 1.00367572, rttEMAVariance: 4.840027165495247e-06, cwndEMAVariance: 0
Method 2: time: 1.002932067, rttEMAVariance: 0.041226283005848616, cwndEMAVariance: 0
Method 2: time: 1.003242117, rttEMAVariance: 0.00012602667099492526, cwndEMAVariance: 0
Method 2: time: 1.004462852, rttEMAVariance: 5.7120999449481125e-05, cwndEMAVariance: 0
Method 2: time: 1.001728441, rttEMAVariance: 4.761000192154702e-08, cwndEMAVariance: 0
Method 2: time: 1.005206916, rttEMAVariance: 24.714365987648193, cwndEMAVariance: 0
Method 2: time: 1.006983106, rttEMAVariance: 167.23178988166234, cwndEMAVariance: 0
Method 2: time: 1.001901144, rttEMAVariance: 0.012040892142590876, cwndEMAVariance: 0
Method 2: time: 1.004916744, rttEMAVariance: 34.61931013401545, cwndEMAVariance: 0
Method 2: time: 1.000788341, rttEMAVariance: 0.0038439615789236936, cwndEMAVariance: 0
Method 2: time: 1.002097618, rttEMAVariance: 25.281404495916668, cwndEMAVariance: 0
Method 2: time: 1.005067327, rttEMAVariance: 4.4099999996891335e-07, cwndEMAVariance: 0
Method 2: time: 1.002898708, rttEMAVariance: 8.999999910300304e-05, cwndEMAVariance: 2.0764810000042074e-242
Method 2: time: 1.003773945, rttEMAVariance: 6.656400156285741e-05, cwndEMAVariance: 0
Method 2: time: 1.003945583, rttEMAVariance: 0.0006150421857001955, cwndEMAVariance: 0
Method 2: time: 1.004969102, rttEMAVariance: 6.399999937406992e-08, cwndEMAVariance: 0
Method 2: time: 1.001990873, rttEMAVariance: 4.313926863797461, cwndEMAVariance: 0
Method 2: time: 1.003699391, rttEMAVariance: 0.0781653740163653, cwndEMAVariance: 0
Method 2: time: 1.004118107, rttEMAVariance: 1.6648641188503523, cwndEMAVariance: 0
Method 2: time: 1.001963463, rttEMAVariance: 832.4786638714268, cwndEMAVariance: 0
Method 2: time: 1.002756432, rttEMAVariance: 44.91547701431829, cwndEMAVariance: 0
Method 2: time: 1.007009199, rttEMAVariance: 1.5860187618030137, cwndEMAVariance: 0
Method 2: time: 1.002815704, rttEMAVariance: 0.9206827208609553, cwndEMAVariance: 0
Method 2: time: 1.002613, rttEMAVariance: 0.0003480996520114717, cwndEMAVariance: 0
Method 2: time: 1.003087607, rttEMAVariance: 1.5625005198268452e-05, cwndEMAVariance: 0
Method 2: time: 1.004165093, rttEMAVariance: 4.096001162406623e-06, cwndEMAVariance: 0
Method 2: time: 1.003841132, rttEMAVariance: 0.08019767165999878, cwndEMAVariance: 0
Method 2: time: 1.00284801, rttEMAVariance: 0.0001474562854978101, cwndEMAVariance: 0
Method 2: time: 1.005506497, rttEMAVariance: 8.482431205966756e-05, cwndEMAVariance: 0
Method 2: time: 1.00318841, rttEMAVariance: 0.6694414481994512, cwndEMAVariance: 0
Method 2: time: 1.004868445, rttEMAVariance: 8.747643136357802, cwndEMAVariance: 0
Method 2: time: 1.003451458, rttEMAVariance: 75.96198199005977, cwndEMAVariance: 0
Method 2: time: 1.001478634, rttEMAVariance: 2.994761303484707, cwndEMAVariance: 0
Method 2: time: 1.000941455, rttEMAVariance: 75.41424279654942, cwndEMAVariance: 0
Method 2: time: 1.005589362, rttEMAVariance: 0.00015128998493150136, cwndEMAVariance: 0
Method 2: time: 1.00562746, rttEMAVariance: 1.9600011535382522e-07, cwndEMAVariance: 0
Method 2: time: 1.002341207, rttEMAVariance: 0.06243752161348514, cwndEMAVariance: 0
Method 2: time: 1.003439215, rttEMAVariance: 0.08008849976977966, cwndEMAVariance: 0
Method 2: time: 1.004369757, rttEMAVariance: 0.00490107848896919, cwndEMAVariance: 0
Method 2: time: 1.003508404, rttEMAVariance: 0.0011559915089904978, cwndEMAVariance: 0
Method 2: time: 1.005590652, rttEMAVariance: 5.183718399191415, cwndEMAVariance: 0
Method 2: time: 1.00142637, rttEMAVariance: 0.00037248997502972893, cwndEMAVariance: 0
Method 2: time: 1.003742212, rttEMAVariance: 55.626668060905615, cwndEMAVariance: 0
Method 2: time: 1.004163051, rttEMAVariance: 267.69611325822433, cwndEMAVariance: 0
Method 2: time: 1.001813107, rttEMAVariance: 21.978997296901337, cwndEMAVariance: 0
Method 2: time: 1.007686935, rttEMAVariance: 5.421240002491727, cwndEMAVariance: 0
Method 2: time: 1.00169294, rttEMAVariance: 0.18471581716020988, cwndEMAVariance: 0
Method 2: time: 1.002724406, rttEMAVariance: 0.4368095630986979, cwndEMAVariance: 0
Method 2: time: 1.004081596, rttEMAVariance: 456.64718377069676, cwndEMAVariance: 0
Method 2: time: 1.003385958, rttEMAVariance: 0.0033868740962378716, cwndEMAVariance: 0
Method 2: time: 1.00488721, rttEMAVariance: 1.6007808841794241e-06, cwndEMAVariance: 0
Method 2: time: 1.003556668, rttEMAVariance: 0.0009612423889603265, cwndEMAVariance: 0
Method 2: time: 1.002975728, rttEMAVariance: 1.2100005027920749e-06, cwndEMAVariance: 0
Method 2: time: 1.002859137, rttEMAVariance: 26.244007558294296, cwndEMAVariance: 0
Method 2: time: 1.004319929, rttEMAVariance: 10.099030173556729, cwndEMAVariance: 0
Method 2: time: 1.004260042, rttEMAVariance: 0.1197902382993786, cwndEMAVariance: 0
Method 2: time: 1.006507718, rttEMAVariance: 0.19404005840712196, cwndEMAVariance: 0
Method 2: time: 1.00102544, rttEMAVariance: 0.23101696713934364, cwndEMAVariance: 0
Method 2: time: 1.004616242, rttEMAVariance: 9.171752278080746, cwndEMAVariance: 0
Method 2: time: 1.002685163, rttEMAVariance: 2.574997151015978, cwndEMAVariance: 0
Method 2: time: 1.005569342, rttEMAVariance: 0.4619377726981723, cwndEMAVariance: 0
Method 2: time: 1.003292697, rttEMAVariance: 0.00010403998958795708, cwndEMAVariance: 0
Method 2: time: 1.003947356, rttEMAVariance: 14.498715582890249, cwndEMAVariance: 0
Method 2: time: 1.003918692, rttEMAVariance: 0.22483057939240697, cwndEMAVariance: 0
Method 2: time: 1.003015885, rttEMAVariance: 5.290042708941296e-05, cwndEMAVariance: 0
Method 2: time: 1.004571177, rttEMAVariance: 0.10258473709733004, cwndEMAVariance: 0
Method 2: time: 1.003709928, rttEMAVariance: 120.58303438878177, cwndEMAVariance: 0
Method 2: time: 1.005225049, rttEMAVariance: 1.830510040849876, cwndEMAVariance: 0
Method 2: time: 1.004422111, rttEMAVariance: 255.4833731729242, cwndEMAVariance: 0
Method 2: time: 1.00433704, rttEMAVariance: 70.57611269235134, cwndEMAVariance: 0
Method 2: time: 1.003976581, rttEMAVariance: 97.61004899646908, cwndEMAVariance: 0
Method 2: time: 1.00448709, rttEMAVariance: 0.0030270343124245078, cwndEMAVariance: 0
Method 2: time: 1.004534513, rttEMAVariance: 0.17056729429592743, cwndEMAVariance: 0
Method 2: time: 1.003705961, rttEMAVariance: 0.009486390850421614, cwndEMAVariance: 0
Method 2: time: 1.003193937, rttEMAVariance: 1.1449004423524102e-07, cwndEMAVariance: 0
Method 2: time: 1.005288152, rttEMAVariance: 1.2744904443304723e-05, cwndEMAVariance: 0
Method 2: time: 1.00411638, rttEMAVariance: 0.0004121682019150155, cwndEMAVariance: 0
Method 2: time: 1.005229016, rttEMAVariance: 0.18166081526800396, cwndEMAVariance: 0
Method 2: time: 1.002968919, rttEMAVariance: 3.2489999977364257e-07, cwndEMAVariance: 0
Method 2: time: 1.006755848, rttEMAVariance: 18.042750006620356, cwndEMAVariance: 0
Method 2: time: 1.002370643, rttEMAVariance: 4.577760180688076, cwndEMAVariance: 0
Method 2: time: 1.004997796, rttEMAVariance: 35.739000003340266, cwndEMAVariance: 0
Method 2: time: 1.004226757, rttEMAVariance: 62.37123682232765, cwndEMAVariance: 0
Method 2: time: 1.003091103, rttEMAVariance: 0.05754364056890958, cwndEMAVariance: 0
Method 2: time: 1.004191716, rttEMAVariance: 4.4004130009715776e-05, cwndEMAVariance: 0
Method 2: time: 1.014220337, rttEMAVariance: 0.00012995998743353006, cwndEMAVariance: 0
Method 2: time: 1.007489624, rttEMAVariance: 23.40900009745284, cwndEMAVariance: 0
Method 2: time: 1.008787253, rttEMAVariance: 0.0009999000990084312, cwndEMAVariance: 0
Method 2: time: 1.00370171, rttEMAVariance: 63.87084002212417, cwndEMAVariance: 2.0764810072655815e-108
Method 2: time: 1.003556092, rttEMAVariance: 0.006251495555701723, cwndEMAVariance: 0
Method 2: time: 1.003258396, rttEMAVariance: 55.60731002011061, cwndEMAVariance: 0
Method 2: time: 1.011153302, rttEMAVariance: 0.06759955560757322, cwndEMAVariance: 0
Method 2: time: 1.003014631, rttEMAVariance: 3.763601283481933e-05, cwndEMAVariance: 0
Method 2: time: 1.003464509, rttEMAVariance: 1.2543999999525086e-07, cwndEMAVariance: 0
Method 2: time: 1.004871408, rttEMAVariance: 0.2905215418118201, cwndEMAVariance: 0
Method 2: time: 1.002011795, rttEMAVariance: 0.00409597290021649, cwndEMAVariance: 0
Method 2: time: 1.004109779, rttEMAVariance: 0.44114802447410784, cwndEMAVariance: 0
Method 2: time: 1.004071203, rttEMAVariance: 125.46837404779507, cwndEMAVariance: 0
