Index,RTT (μs),CWND (B),Bytes In Flight (B)
344,720,40960,195
345,661,40960,0
346,661,40960,390
347,613,40960,0
348,613,40960,99
349,613,40960,199
350,566,40960,0
351,566,40960,100
352,531,40960,0
353,531,40960,96
354,531,40960,608
355,540,40960,0
356,540,40960,95
357,540,40960,192
358,505,40960,0
359,505,40960,32
360,505,40960,1473
361,505,40960,1570
362,542,40960,0
363,542,40960,97
364,542,40960,195
365,511,40960,0
366,511,40960,104
367,487,40960,0
368,487,40960,94
369,487,40960,190
370,459,40960,0
371,459,40960,588
372,431,40960,0
373,431,40960,95
374,431,40960,189
375,406,40960,0
376,406,40960,472
377,390,40960,0
378,390,40960,97
379,390,40960,193
380,403,40960,0
381,403,40960,100
382,403,40960,196
383,382,40960,0
384,382,40960,415
385,366,40960,0
386,366,40960,100
387,366,40960,200
388,351,40960,100
389,349,40960,0
390,349,40960,471
391,335,40960,0
392,335,40960,97
393,335,40960,192
394,326,40960,0
395,326,40960,97
396,326,40960,193
397,319,40960,0
398,319,40960,422
399,540,40960,0
400,540,40960,99
401,506,40960,0
402,506,40960,101
403,476,40960,0
404,476,40960,95
405,476,40960,496
406,454,40960,0
407,454,40960,96
408,454,40960,189
409,426,40960,93
410,411,40960,0
411,411,40960,95
412,411,40960,191
413,426,40960,0
414,426,40960,39
415,426,40960,1480
416,426,40960,1802
417,426,40960,1826
418,474,40960,0
419,474,40960,95
420,474,40960,186
421,478,40960,0
422,478,40960,98
423,478,40960,193
424,488,40960,0
425,488,40960,336
426,460,40960,0
427,460,40960,95
428,460,40960,186
429,433,40960,0
430,433,40960,311
431,635,40960,0
432,635,40960,96
433,635,40960,189
434,586,40960,0
435,586,40960,95
436,586,40960,188
437,551,40960,0
438,551,40960,253
439,515,40960,0
440,515,40960,96
441,515,40960,190
442,481,40960,0
443,481,40960,100
444,457,40960,0
445,457,40960,341
446,437,40960,0
447,437,40960,94
448,437,40960,184
449,414,40960,0
450,414,40960,91
451,414,40960,184
452,396,40960,0
453,396,40960,316
454,423,40960,0
455,423,40960,106
