Index,RTT (μs),CWND (B),Bytes In Flight (B)
347,327,40960,1424
348,306,40960,0
349,306,40960,98
350,306,40960,194
351,296,40960,0
352,296,40960,92
353,281,40960,0
354,281,40960,33
355,281,40960,1474
356,281,40960,1665
357,281,40960,1689
358,281,40960,1790
359,283,40960,0
360,283,40960,100
361,427,40960,0
362,427,40960,98
363,427,40960,195
364,401,40960,0
365,401,40960,33
366,401,40960,1474
367,401,40960,1562
368,401,40960,1586
369,427,40960,0
370,427,40960,99
371,397,40960,0
372,397,40960,100
373,377,40960,0
374,377,40960,40
375,377,40960,1481
376,377,40960,1640
377,377,40960,1664
378,377,40960,1764
379,364,40960,0
380,364,40960,96
381,352,40960,0
382,352,40960,95
383,352,40960,192
384,338,40960,0
385,338,40960,32
386,338,40960,1473
387,338,40960,1570
388,391,40960,0
389,391,40960,97
390,391,40960,195
391,371,40960,98
392,366,40960,0
393,366,40960,97
394,366,40960,191
395,365,40960,0
396,365,40960,96
397,349,40960,0
398,349,40960,32
399,349,40960,1473
400,349,40960,2914
401,349,40960,3059
402,349,40960,3083
403,395,40960,0
404,395,40960,95
405,395,40960,189
406,370,40960,0
407,370,40960,32
408,370,40960,1473
409,370,40960,1838
410,438,40960,0
411,438,40960,97
412,438,40960,193
413,418,40960,0
414,418,40960,100
415,418,40960,196
416,421,40960,0
417,421,40960,32
418,421,40960,1473
419,421,40960,1881
420,421,40960,1905
421,472,40960,0
422,472,40960,100
423,472,40960,200
424,437,40960,0
425,437,40960,32
426,437,40960,1473
427,437,40960,1802
428,437,40960,1826
429,488,40960,0
430,488,40960,97
431,488,40960,192
432,456,40960,0
433,456,40960,97
434,456,40960,193
435,433,40960,0
436,433,40960,32
437,433,40960,1473
438,433,40960,1744
439,433,40960,1768
440,450,40960,0
441,450,40960,99
442,450,40960,200
443,428,40960,0
444,428,40960,39
445,428,40960,1480
446,428,40960,1890
447,467,40960,0
448,467,40960,95
449,446,40960,0
450,446,40960,96
451,456,40960,0
452,456,40960,93
453,430,40960,0
454,430,40960,95
455,404,40960,0
456,404,40960,96
457,381,40960,0
458,381,40960,32
459,381,40960,1473
460,381,40960,1828
461,439,40960,0
462,439,40960,95
463,413,40960,0
464,413,40960,91
465,395,40960,0
466,395,40960,98
467,377,40960,0
468,377,40960,95
469,366,40960,0
470,366,40960,32
471,366,40960,1473
472,366,40960,1755
473,366,40960,1779
474,407,40960,0
475,407,40960,95
476,407,40960,186
477,389,40960,0
478,389,40960,32
479,389,40960,1473
480,389,40960,1872
481,389,40960,1896
482,431,40960,0
483,431,40960,96
484,431,40960,189
485,416,40960,0
486,416,40960,95
487,416,40960,188
488,400,40960,0
489,400,40960,32
490,400,40960,1473
491,400,40960,1727
492,457,40960,0
493,457,40960,96
494,428,40960,0
495,428,40960,101
496,407,40960,0
497,407,40960,100
498,392,40960,0
499,392,40960,32
500,392,40960,1473
501,392,40960,1938
502,392,40960,1962
503,431,40960,0
504,431,40960,94
505,431,40960,184
506,400,40960,90
507,374,40960,0
508,374,40960,91
509,374,40960,184
510,361,40960,0
511,361,40960,32
512,361,40960,1473
513,361,40960,1935
514,404,40960,0
515,404,40960,99
516,404,40960,196
517,382,40960,0
518,382,40960,32
519,382,40960,1473
520,382,40960,1911
521,382,40960,2010
522,429,40960,99
523,429,40960,196
524,406,40960,0
525,406,40960,93
526,406,40960,186
527,385,40960,0
528,385,40960,32
529,385,40960,1473
530,385,40960,2092
531,423,40960,0
532,423,40960,90
533,402,40960,0
534,402,40960,93
535,384,40960,0
536,384,40960,93
537,384,40960,187
538,366,40960,0
539,366,40960,32
540,366,40960,1473
541,366,40960,2052
542,366,40960,2076
543,451,40960,0
544,451,40960,91
545,451,40960,181
546,427,40960,0
547,427,40960,88
548,404,40960,0
549,404,40960,33
550,404,40960,1474
551,404,40960,2018
552,404,40960,2042
553,428,40960,0
554,428,40960,93
555,428,40960,181
556,405,40960,0
557,405,40960,104
558,405,40960,201
559,395,40960,0
560,395,40960,33
561,395,40960,1474
562,395,40960,2062
563,395,40960,2086
564,455,40960,0
565,455,40960,92
566,455,40960,185
567,425,40960,0
568,425,40960,33
569,425,40960,1474
570,425,40960,2118
571,425,40960,2142
572,481,40960,0
573,481,40960,93
574,481,40960,189
575,450,40960,0
576,450,40960,94
577,439,40960,0
578,439,40960,95
579,439,40960,0
580,439,40960,33
581,439,40960,1474
582,439,40960,2023
583,439,40960,2047
584,480,40960,0
585,480,40960,91
586,480,40960,190
587,453,40960,0
588,453,40960,33
589,453,40960,1474
590,453,40960,2282
591,453,40960,2306
592,477,40960,0
593,477,40960,97
594,477,40960,194
595,446,40960,0
596,446,40960,96
597,426,40960,0
598,426,40960,94
599,410,40960,0
600,410,40960,94
601,395,40960,0
602,395,40960,33
603,395,40960,1474
604,395,40960,2156
605,395,40960,2180
606,401,40960,0
607,401,40960,96
608,401,40960,189
609,370,40960,0
610,370,40960,33
611,370,40960,1474
612,370,40960,2346
613,370,40960,2370
614,418,40960,0
615,418,40960,94
616,398,40960,0
617,398,40960,104
618,373,40960,0
619,373,40960,94
620,373,40960,188
621,350,40960,0
622,350,40960,33
623,350,40960,1474
624,350,40960,2095
625,392,40960,0
626,392,40960,95
627,392,40960,188
628,377,40960,0
629,377,40960,98
630,358,40960,0
631,358,40960,96
632,338,40960,0
633,338,40960,33
634,338,40960,1474
635,338,40960,2238
636,338,40960,2262
637,370,40960,0
638,370,40960,96
639,370,40960,192
640,356,40960,0
641,356,40960,33
642,356,40960,1474
643,356,40960,2340
644,389,40960,0
645,389,40960,95
646,368,40960,0
647,368,40960,92
648,368,40960,189
649,349,40960,0
650,349,40960,89
651,349,40960,182
652,350,40960,0
653,350,40960,33
654,350,40960,1474
655,350,40960,2233
656,388,40960,0
657,388,40960,90
658,388,40960,181
659,366,40960,0
660,366,40960,33
661,366,40960,1474
662,366,40960,2427
663,377,40960,0
664,377,40960,94
665,377,40960,186
666,348,40960,0
667,348,40960,91
668,338,40960,0
669,338,40960,92
670,338,40960,0
671,338,40960,33
672,338,40960,1474
673,338,40960,2694
674,338,40960,2718
675,387,40960,0
676,387,40960,89
677,387,40960,184
678,373,40960,0
679,373,40960,40
680,373,40960,1481
681,373,40960,2427
682,373,40960,2451
683,373,40960,2542
684,357,40960,0
685,357,40960,91
686,350,40960,0
687,350,40960,91
688,350,40960,178
689,338,40960,0
690,338,40960,91
691,335,40960,0
692,335,40960,32
693,335,40960,1473
694,335,40960,1880
695,335,40960,1904
696,402,40960,0
697,402,40960,93
698,402,40960,190
699,382,40960,0
700,382,40960,96
701,364,40960,0
702,364,40960,98
703,345,40960,0
704,345,40960,32
705,345,40960,1473
706,345,40960,2914
707,345,40960,3664
708,395,40960,0
709,395,40960,96
710,395,40960,190
711,377,40960,0
712,377,40960,32
713,377,40960,1473
714,377,40960,2743
715,377,40960,2767
716,434,40960,0
717,434,40960,97
718,434,40960,193
719,404,40960,0
720,404,40960,94
721,404,40960,188
722,391,40960,0
723,391,40960,32
724,391,40960,1473
725,391,40960,2598
726,391,40960,2622
727,430,40960,0
728,430,40960,95
729,430,40960,188
730,405,40960,0
731,405,40960,32
732,405,40960,1473
733,405,40960,2644
734,405,40960,2668
735,393,40960,0
736,393,40960,103
737,393,40960,197
738,370,40960,0
739,370,40960,94
740,370,40960,184
741,361,40960,0
742,361,40960,95
743,350,40960,0
744,350,40960,32
745,350,40960,1473
746,350,40960,2693
747,350,40960,2717
748,372,40960,0
749,372,40960,95
750,372,40960,190
751,354,40960,0
752,354,40960,32
753,354,40960,1473
754,354,40960,2691
755,396,40960,0
756,396,40960,96
757,396,40960,195
758,388,40960,0
759,388,40960,93
760,388,40960,187
761,376,40960,0
762,376,40960,32
763,376,40960,1473
764,376,40960,2703
765,421,40960,0
766,421,40960,97
767,421,40960,194
768,401,40960,0
769,401,40960,32
770,401,40960,1473
771,401,40960,2649
772,401,40960,2673
773,401,40960,2770
774,384,40960,0
775,384,40960,97
776,371,40960,0
777,371,40960,95
778,371,40960,191
779,357,40960,0
780,357,40960,32
781,357,40960,1473
782,357,40960,2251
783,357,40960,2275
784,392,40960,0
785,392,40960,95
786,392,40960,187
787,377,40960,0
788,377,40960,96
789,363,40960,0
790,363,40960,96
791,363,40960,190
792,348,40960,0
793,348,40960,32
794,348,40960,1473
795,348,40960,2821
796,348,40960,2845
797,382,40960,0
798,382,40960,96
799,365,40960,0
800,365,40960,92
801,346,40960,0
802,346,40960,39
803,346,40960,1480
804,346,40960,2533
805,422,40960,0
806,422,40960,95
807,399,40960,0
808,399,40960,96
809,378,40960,0
810,378,40960,90
811,378,40960,183
812,372,40960,0
813,372,40960,32
814,372,40960,1473
815,372,40960,2867
816,409,40960,0
817,409,40960,91
818,409,40960,185
819,392,40960,0
820,392,40960,32
821,392,40960,1473
822,392,40960,2662
823,392,40960,2686
824,416,40960,0
825,416,40960,94
826,416,40960,186
827,399,40960,0
828,399,40960,91
829,399,40960,181
830,376,40960,0
831,376,40960,32
832,376,40960,1473
833,376,40960,2914
